Local authority name,Local authority code,Local authority website URL,Service name,Service URL,Operator name,Operator URL,Catalogue URL,Android app URL,iOS app URL,Email,Phone,New member URL,Libraries URL,Mobile libraries URL,Home service URL,Computer access URL,Wifi access URL,Fees and charges URL,Child fine,Adult fine,Fine interval,Fine notes,Fine free URL,Childrens service URL,Instagram name,Facebook page name,Twitter handle,YouTube ID,Flickr ID,Events URL,Eventbrite ID,Google calendar ID,Blog URL,Blog RSS feed,News URL,News signup URL,News RSS feed,Podcast name,Podcast URL,Podcast RSS feed,Borrowbox ID,Borrowbox offer,Overdrive name,Overdrive offer,RBDigital name,RBDigital offer,cloudLibrary name,cloudLibrary offer,uLibrary name,uLibrary offer,Ebook info URL,Audiobook info URL,Emagazines info URL,Ebook supplier,Ebook URL,Audiobook supplier,Audiobook URL,Library management system supplier,Library management system,Online catalogue system,Events,Time to read library,Library notification,Services,Green library
Devon,E10000008,,,https://www.devonlibraries.org.uk/web/arena,,,https://www.devonlibraries.org.uk/web/arena,,,info@librariesunlimited.org.uk,0345 155 1001,https://www.devonlibraries.org.uk/web/arena/join-thelibrary,https://www.devonlibraries.org.uk/web/arena/ourlibraries,https://www.devonlibraries.org.uk/web/arena/mobilelibraries,https://www.devonlibraries.org.uk/web/arena/health-homelibraryservice,https://www.devonlibraries.org.uk/web/arena/discover-computersandit,https://www.devonlibraries.org.uk/web/arena/discover-computersandit,https://www.devonlibraries.org.uk/web/arena/discover-feesandcharges,£0.00,£0.30,Day,,,https://www.devonlibraries.org.uk/web/arena/children,devonlibraries,DevonLibraries,DevonLibraries ,UCb-0tUSSihz-YCAAw5pNv9Q,35251120@N07,https://www.devonlibraries.org.uk/web/arena/events,,,,,,,,,,,6345,Audiobooks,librariesunlimited,"Ebooks,Audiobooks",devon,"Audiobooks,Magazines",,,,,https://www.devonlibraries.org.uk/web/arena/home,https://www.devonlibraries.org.uk/web/arena/home,https://www.devonlibraries.org.uk/web/arena/home,Overdrive,https://librariesunlimited.overdrive.com/,Overdrive,https://librariesunlimited.overdrive.com/,Axiell,Spark,Arena,,,,,
Doncaster,E08000017,,,https://www.doncaster.gov.uk/services/libraries/doncaster-libraries,,,https://library.doncaster.gov.uk/,https://play.google.com/store/apps/details?id=uk.co.solus.DoncasterLibraries,https://itunes.apple.com/gb/app/doncaster-libraries/id1011426925?ls=1&mt=8,centrallibrary@doncaster.gov.uk,01302 734314,https://library.doncaster.gov.uk/web/arena/joining-the-library,https://www.doncaster.gov.uk/maps/libraries-map,,https://library.doncaster.gov.uk/web/arena/home-library-service,https://library.doncaster.gov.uk/web/arena/internet-computers-in-libraries,,https://library.doncaster.gov.uk/web/arena/library-fees-and-charges,£0.00,£0.30,Day,,,https://library.doncaster.gov.uk/web/arena/children-s-library,,,,,,https://library.doncaster.gov.uk/web/arena/library-events,,k9nj7jcpviegmhuqtv9lptd964@group.calendar.google.com,,,https://library.doncaster.gov.uk/web/arena/news,,https://library.doncaster.gov.uk/web/arena/news/-/blogs/rss,,,,3003,"Ebooks,Audiobooks",,,doncaster,"Magazines,Comics",,,,,https://library.doncaster.gov.uk/web/arena/a-z-eresources,https://library.doncaster.gov.uk/web/arena/a-z-eresources,https://library.doncaster.gov.uk/web/arena/a-z-eresources,Bibliotheca,https://ebook.yourcloudlibrary.com/library/doncasterpl/Featured,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=3003,Axiell,Spark,Arena,,,,,
Dorset,E06000059,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/libraries.aspx,,,https://www.librarieswest.org.uk/,https://play.google.com/store/apps/details?id=uk.co.solus.librarieswest,https://itunes.apple.com/gb/app/librarieswest/id935637390?ls=1&mt=8,D.Libraries@dorsetcouncil.gov.uk,01305 224311,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/join-the-library/join-the-library.aspx,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/dorset-libraries.aspx,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/home-library-services.aspx,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/computers-and-internet-access/computers-and-internet-access-at-dorset-libraries.aspx,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/find-your-local-library/computers-and-internet-access/computers-and-internet-access-at-dorset-libraries.aspx,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/join-the-library/library-charges.aspx,£0.00,£0.20,Day,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/library-services-during-covid-19/childrens-activities.aspx,,DorsetLibraries,DorsetLibraries,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/library-events.aspx,,,,,,https://news.dorsetforyou.gov.uk/e-news-sign-up/,,,,,6365,"Ebooks,Audiobooks",,,dorset,Magazines,LW,Ebooks,,,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/ebooks-audiobooks-and-online-reference/borrow-ebooks-and-audio-books.aspx,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/ebooks-audiobooks-and-online-reference/borrow-ebooks-and-audio-books.aspx,https://www.dorsetcouncil.gov.uk/libraries-history-culture/libraries/ebooks-audiobooks-and-online-reference/e-magazines.aspx,Bibliotheca,https://ebook.yourcloudlibrary.com/library/LW/Featured,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6365,SirsiDynix,Symphony,Enterprise,,,,,
Dudley,E08000027,,,https://www.dudley.gov.uk/things-to-do/dudley-borough-libraries/,,,https://prism.librarymanagementcloud.co.uk/dudley,,,dudley.libraries@gll.org,,https://prism.librarymanagementcloud.co.uk/dudley/join,https://www.better.org.uk/library/dudley,,https://www.better.org.uk/library/dudley/home-library-service,https://bookings.dudley.gov.uk/cire/Login.aspx,,https://www.better.org.uk/library/dudley/dudley/fees,£0.00,£0.20,Day,,,https://www.better.org.uk/library/dudley/dudley/childrens-activities-dudley-library,,Dudleylibraries,dudleylibraries,,,https://www.better.org.uk/library/dudley/dudley/activities,,,,,,,,,,,,,glllibraries,,dudley,Magazines,,,gll,Audiobooks,https://prism.librarymanagementcloud.co.uk/dudley/assets/-/RBdigital.html,https:/prism.librarymanagementcloud.co.uk/dudley/assets/-/RBdigital.html,https://prism.librarymanagementcloud.co.uk/dudley/assets/-/eBooksAudioandMusic.html,Overdrive,https://glllibraries.overdrive.com/,Overdrive,https://glllibraries.overdrive.com/,Capita,Alto,Prism,,,,,checked
Dumfries and Galloway,S12000006,,,https://www.dumgal.gov.uk/lia,,,https://dumgal.inforlib.uk,,,,,https://www.dumgal.gov.uk/article/15317/Library-membership,https://www.dumgal.gov.uk/article/15306/Local-libraries,,https://www.dumgal.gov.uk/article/15316/Home-delivery-service-for-library-books,,https://dumgal.inforlib.uk/,https://www.dumgal.gov.uk/article/15311/Borrow-items-from-the-library,£0.00,£0.00,,,,https://dumgal.inforlib.uk/iguana/www.main.cls?p=*&v=f6a9edc2-ed32-4917-b93b-da723f4ea16a,,DumfriesandGallowayLibraries,dumgallibraries,,,https://www.dumgal.gov.uk/article/15321/Library-activities-and-events,,,,,,,,,,,4069,"Ebooks,Audiobooks",,,dumfriesandgalloway,Magazines,,,,,https://www.dumgal.gov.uk/eBooks,https://www.dumgal.gov.uk/eBooks,https://www.dumgal.gov.uk/article/15314/Borrow-eMagazines-,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=4069,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=4069,Infor,V-Smart,Iguana,,,,,
Dundee City,S12000042,,,http://www.leisureandculturedundee.com/library,,,https://dundee.spydus.co.uk/,https://play.google.com/store/apps/details?id=uk.co.solus.dundee,https://itunes.apple.com/gb/app/dundee-libraries/id638141079,,01382 431500,https://dundee.spydus.co.uk/cgi-bin/spydus.exe/MSGTRN/WPAC/JOIN,http://www.leisureandculturedundee.com/library/find-library,http://www.leisureandculturedundee.com/library/mobile/timetable,http://www.leisureandculturedundee.com/library/home-library-service,http://www.leisureandculturedundee.com/library/find-library,http://www.leisureandculturedundee.com/library/find-library,http://www.leisureandculturedundee.com/requests-fees-and-charges,£0.00,£0.25,Week,,,http://www.leisureandculturedundee.com/children%E2%80%99s-centre,lacdundee,dundeelibraries,dundeelibraries,UCqQSaDmrCsLISuVBwkPQJnw,,http://www.leisureandculturedundee.com/events/venue/51,,,,,,,,,,,,,dundeecity,"Audiobooks,Ebooks",dundee,"Audiobooks,Magazines,Comics",,,,,http://www.leisureandculturedundee.com/library/e-reading,http://www.leisureandculturedundee.com/library/e-reading,http://www.leisureandculturedundee.com/library/eresources#sect3,Overdrive,https://dundeecity.overdrive.com/,RBDigital,https://dundee.rbdigitalglobal.com/,Civica,Spydus,Spydus,,,,,checked
Ealing,E09000009,,,https://www.ealing.gov.uk/info/201219/libraries,,,https://llc.ent.sirsidynix.net.uk/client/en_GB/ealing,https://play.google.com/store/apps/details?id=uk.co.solus.LLC,https://apps.apple.com/us/app/my-library-app/id1475794558?ls=1,Libraries@ealing.gov.uk,020 8825 6550,https://www.ealing.gov.uk/info/201219/libraries/2393/join_a_library,https://www.ealing.gov.uk/info/201241/find_your_library,,https://www.ealing.gov.uk/info/201219/libraries/2423/housebound_library_service,https://www.ealing.gov.uk/info/201219/libraries/2409/free_internet_access,,https://www.ealing.gov.uk/info/201219/libraries/2389/fees_and_charges_for_ealing_libraries,£0.23,£0.23,Day,,,https://www.ealing.gov.uk/info/201219/libraries/2387/childrens_library_services,,,EalingLibs,,,https://www.ealing.gov.uk/info/201219/libraries/2412/events,,,,,,,,,,,,,llc,"Ebooks,Audiobooks",llc,"Ebooks,Audiobooks,Magazines,Comics",,,,,https://www.ealing.gov.uk/info/201219/libraries/2384/247_online_library_services/3,https://www.ealing.gov.uk/info/201219/libraries/2384/247_online_library_services/3,https://www.ealing.gov.uk/info/201219/libraries/2384/247_online_library_services/2,Overdrive,https://llc.overdrive.com/,Overdrive,https://llc.overdrive.com/,SirsiDynix,Symphony,Enterprise,,,,,
East Ayrshire,S12000008,,,https://eastayrshireleisure.com/libraries/,,,https://ealt.ent.sirsidynix.net.uk/client/en_GB/default,,,,01563 554300,,https://eastayrshireleisure.com/libraries/your-local-library/,https://eastayrshireleisure.com/libraries/homewords-mobile-service/,https://eastayrshireleisure.com/libraries/homewords-mobile-service/,https://eastayrshireleisure.com/libraries/computers-learning/,,,£0.00,£0.00,,,,https://eastayrshireleisure.com/libraries/bookbug/,,EastAyrshireArts,EALeisure,,,https://eastayrshireleisure.com/whats-on/,,,,,,,,,,,5890,"Ebooks,Audiobooks",,,eastayrshire,"Magazines,Audiobooks",,,,,https://eastayrshireleisure.com/libraries/,https://eastayrshireleisure.com/libraries/,https://eastayrshireleisure.com/libraries/,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=5890&fromPage=1,RBDigital,https://eastayrshire.rbdigitalglobal.com/,SirsiDynix,Symphony,Enterprise,,,,,
East Dunbartonshire,S12000045,,,https://www.edlc.co.uk/libraries,,,https://edlc.koha-ptfs.co.uk,https://play.google.com/store/apps/details?id=uk.co.solus.eastdumbartonshire,https://itunes.apple.com/gb/app/east-dunbartonshire-libraries/id638159754, libraries@eastdunbarton.gov.uk,0141 777 3143,https://www.edlc.co.uk/libraries/how-join,https://www.edlc.co.uk/libraries/opening-hours,,,https://www.edlc.co.uk/libraries/computers-and-technology,https://www.edlc.co.uk/libraries/computers-and-technology,https://www.edlc.co.uk/libraries/fees-and-charges,£0.00,£0.00,,,,https://www.edlc.co.uk/libraries/children-families,,EDLCCulture,EDLC_Culture,,,https://www.edlc.co.uk/heritage-arts/whats-on,east-dunbartonshire-leisure-amp-culture-trust-cultural-services-17826695432,,,,,,,,,,,,,,,,,,,,,,,RBDigital,https://edunbartonshire.rbdigitalglobal.com/,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=5790,PTFS Europe,Koha,Koha,,,,,
East Lothian,S12000010,,,https://www.eastlothian.gov.uk/info/210562/libraries,,,https://prism.librarymanagementcloud.co.uk/eastlothian,,,libraries@eastlothian.gov.uk,01620820600,https://www.eastlothian.gov.uk/info/210562/libraries/11900/your_local_library,https://www.eastlothian.gov.uk/directory/10059/east_lothian_libraries,https://www.eastlothian.gov.uk/info/210562/libraries/11900/your_local_library/5,,http://elcbook.imsas.co.uk/,,https://www.eastlothian.gov.uk/info/210562/libraries/11900/your_local_library/3,£0.00,£0.00,,,,https://www.eastlothian.gov.uk/info/210562/libraries/11995/book_groups_for_children_and_young_people,eastlothianlibraries,eastlothianlibs,eastlothianlibs,,,https://www.eastlothian.gov.uk/events,,,,,,,,,,,,,,,,,,,,,,,,RBDigital,https://eastlothian.rbdigitalglobal.com/,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=3245,Capita,Alto,Prism,,,,,
East Renfrewshire,S12000011,,,https://www.ercultureandleisure.org/libraries,,,https://prism.librarymanagementcloud.co.uk/eastrenfrewshire,https://play.google.com/store/apps/details?id=uk.co.solus.eastrenfrewshire,https://itunes.apple.com/gb/app/east-renfrewshire-libraries/id589040236,libraries@ercultureandleisure.org,0141 577 3500,https://www.ercultureandleisure.org/joiningthelibrary,https://www.ercultureandleisure.org/article/7791/Your-local-library,,,,,https://www.ercultureandleisure.org/article/7848/Fees-and-Chargesp,£0.00,£0.00,,,,https://www.ercultureandleisure.org/article/7798/Children-and-young-people,,ERCultureandLeisure,ERCL4,,,https://www.ercultureandleisure.org/LibraryEvents,,,,,https://www.ercultureandleisure.org/news?listing=Libraries,,,,,,,,,,,,,,,,,,,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6371,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6371,Civica,Alto,Prism,,,,,
East Riding of Yorkshire,E06000011,,,https://www.eastriding.gov.uk/leisure/libraries/,,,https://library.eastriding.gov.uk/,https://play.google.com/store/apps/details?id=uk.co.solus.EastRidingLibraries,https://itunes.apple.com/us/app/east-riding-libraries/id1154023759,,,https://www.eastridinglibraries.co.uk/memberships/,https://www.eastridinglibraries.co.uk/find-a-library/,,,https://netloan.eastriding.gov.uk/netloan/Login.aspx,https://www.eastriding.gov.uk/living/rural-life/rural-services/free-wi-fi-locations/,https://www.eastriding.gov.uk/leisure/libraries/using-the-library/library-fees-and-charges/,£0.00,£0.10,Day,,,https://library.eastriding.gov.uk/web/arena/children,,ERidingLMA,ERidingLMA,UCDKrcfVOPjE1rZFCKsKZOzg,,https://www.eastridinglibraries.co.uk/whats-on/,,,,,,,,,,,,,,,,,,,,,,,,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/productOverview.html?b2bSite=6421&browseItemId=476871&fromPage=1,RBDigital,https://eyorkshire.rbdigitalglobal.com/discovery/eaudio,Axiell,OpenGalaxy,Arena,,,,,
East Sussex,E10000011,,,https://www.eastsussex.gov.uk/libraries/,,,https://e-library.eastsussex.gov.uk/,https://play.google.com/store/apps/details?id=com.civicalld.spydusmobile,https://itunes.apple.com/gb/app/spydus-mobile/id657672156,https://www.eastsussex.gov.uk/libraries/form-library-enquiries/ ,0345 60 80 196,https://eastsussex.spydus.co.uk/cgi-bin/spydus.exe/MSGTRN/WPAC/JOIN,https://www.eastsussex.gov.uk/libraries/local/locations/,,https://www.eastsussex.gov.uk/libraries/local/locations/home-library-service,https://www.eastsussex.gov.uk/libraries/local/computers-and-internet/book-a-library-computer/,https://www.eastsussex.gov.uk/libraries/local/computers-and-internet/free-wifi/,https://www.eastsussex.gov.uk/libraries/local/policies/fees/overdue-charges/,£0.00,£0.25,Day,,,https://www.eastsussex.gov.uk/libraries/activities-and-events/rhymetimes/,,eastsussexlibraries,,,,https://e-library.eastsussex.gov.uk/cgi-bin/spydus.exe/MSGTRN/WPAC/EVENTS?HOMEPRMS=EVSESPARAMS,,,,,,,,,,,,,,,,,,,,,,,,Overdrive,https://eastsussexlibrary.overdrive.com/,RBDigital,https://eastsussex.rbdigitalglobal.com/discovery/eaudio,Civica,Spydus,Spydus,,,,,
Enfield,E09000010,,,https://new.enfield.gov.uk/services/libraries/,,,https://libraries.enfield.gov.uk/client/en_GB/enfield,https://play.google.com/store/apps/details?id=uk.co.solus.LLC,https://apps.apple.com/us/app/my-library-app/id1475794558?ls=1,,020 8379 1000,https://new.enfield.gov.uk/services/libraries/library-information/#2,https://new.enfield.gov.uk/services/libraries/contact-information-and-opening-hours/,,https://new.enfield.gov.uk/services/libraries/home-library-service/,https://new.enfield.gov.uk/services/libraries/internet-access-and-computer-hire-in-libraries/,,https://www.enfield.gov.uk/services/libraries/library-fees-and-charges,£0.00,£0.30,Day,,,https://new.enfield.gov.uk/services/libraries/information-for-parents/,,,enfieldlibrary,,,https://www.eventbrite.com/o/enfield-libraries-18264736404,enfield-libraries-18264736404,,,,https://new.enfield.gov.uk/services/libraries/announcements/,,,,,,,,,,,,,,,,,,,Overdrive,https://llc.overdrive.com/,RBDigital,https://llc.rbdigitalglobal.com/,SirsiDynix,Symphony,Enterprise,,,,,checked
Essex,E10000012,,,https://libraries.essex.gov.uk,,,https://librarycatalogue.essex.gov.uk,,,essex.libraries@essex.gov.uk,0345 603 7628,https://libraries.essex.gov.uk/facilities-and-charges/join-the-library/,https://libraries.essex.gov.uk/library-locations-and-opening-times/,https://libraries.essex.gov.uk/mobile-library-service/,https://libraries.essex.gov.uk/home-library-service/,https://libraries.essex.gov.uk/facilities-and-charges/library-computers-and-wifi/,https://libraries.essex.gov.uk/facilities-and-charges/library-computers-and-wifi/,https://libraries.essex.gov.uk/digital-content/our-strategies-policies-and-terms/facilities-charges-and-loan-charges-,£0.26,£0.26,Day,,,https://libraries.essex.gov.uk/children-and-young-adults/,,EssexLibraries,EssexLibraries,,,,,,,,,https://public.govdelivery.com/accounts/UKESSEX/subscriber/new,,,,,,,,,,,,,,,,,,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=1343,RBDigital,https://essex.rbdigitalglobal.com/,SirsiDynix,Symphony,Enterprise,,,,,
Falkirk,S12000014,,,https://www.falkirkcommunitytrust.org/learning/libraries,,,https://fct.ent.sirsidynix.net.uk/client/en_GB/libraries/,,,hello@falkirkcommunitytrust.org,01324 590900,https://www.falkirkcommunitytrust.org/learning/libraries/join-your-local-library/,https://www.falkirkcommunitytrust.org/learning/libraries/our-libraries/,,https://www.falkirkcommunitytrust.org/learning/libraries/home-library-service/,,,https://fct.ent.sirsidynix.net.uk/client/en_GB/libraries/?rm=LIBRARY+CHARGES0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue,£0.00,£0.00,,,,,falkirklibraries,falkirklibraries,LibFalkirk,UC3xKxTOp8y7l5LlL1NdIVHQ,,https://www.falkirkcommunitytrust.org/learning/libraries/classes-events/,,,,,https://librarylovefalkirk.com/category/library-news/,,https://librarylovefalkirk.com/category/library-news/feed/,Library Love,https://librarylovefalkirk.com/category/podcast/,https://librarylovefalkirk.com/feed/podcast/,,,,,,,,,,,,,,RBDigital,https://falkirk.rbdigitalglobal.com/home,RBDigital,https://falkirk.rbdigitalglobal.com/home,SirsiDynix,Symphony,Enterprise,,,,,
Fife,S12000047,,,https://onfife.com/libraries-archives,,,https://prism.librarymanagementcloud.co.uk/fife,,,fife.libraries@onfife.com,,https://onfife.com/libraries-archives/library-services/join-the-library,http://onfife.com/all-venues?venueType=libraryOrArchive,https://onfife.com/libraries-archives/mobile-home-delivery-services#,https://onfife.com/libraries-archives/mobile-home-delivery-services#,https://www.onfife.com/libraries-archives/library-services/computer-access,https://www.onfife.com/wi-fife,https://onfife.com/late-fees-and-charges,£0.00,£0.00,,,,https://onfife.com/librarykids,onfifelibraries,onfifelibraries,onfifelibraries,,,https://onfife.com/libraries-archives,,,,,,,,,,,,,,,,,,,,,,,,RBDigital,https://fife.rbdigitalglobal.com/,RBDigital,https://fife.rbdigitalglobal.com/,Capita,Alto,Prism,,,,,
Flintshire,W06000005,,,https://aura.wales/libraries,,,https://wales.ent.sirsidynix.net.uk/client/en_GB/flintshire_en/,https://play.google.com/store/apps/details?id=uk.co.solus.LlyfrgelloeddCymru,https://apps.apple.com/us/app/id1528016233,,,https://aura.wales/libraries/joining-the-library/,https://aura.wales/libraries/libraries-and-contact-details/,https://aura.wales/libraries/mobile-library/,https://aura.wales/libraries/library-services-to-customers/,https://aura.wales/libraries/library-services-to-customers/,https://aura.wales/libraries/library-services-to-customers/,https://aura.wales/libraries/what-can-i-borrow-from-flintshire-libraries/,£0.00,£0.00,,Not permanently fine-free - to be reviewed,,https://aura.wales/libraries/library-services-for-children-and-young-people/,,LlyfrgelloeddAuraLibraries,aura_wales,,,https://aura.wales/library-events/,,,,,,,,,,,,,,,,,,,,,,,,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=4790,RBDigital,https://flintshire.rbdigitalglobal.com/,SirsiDynix,Symphony,Portfolio,,,,,checked
Gateshead,E08000037,,,https://www.gateshead.gov.uk/article/9643/Libraries,,,https://prism.librarymanagementcloud.co.uk/gateshead,https://play.google.com/store/apps/details?id=uk.co.solus.gateshead,https://itunes.apple.com/gb/app/gateshead-libraries/id893959840,libraries@gateshead.gov.uk,0191 433 8410,https://www.gateshead.gov.uk/article/10240/Join-the-library,https://www.gateshead.gov.uk/article/9644/Libraries-in-Gateshead,,https://www.gateshead.gov.uk/article/9692/Readers-at-Home-service,https://www.gateshead.gov.uk/article/9910/Computers-and-Internet,https://www.gateshead.gov.uk/article/9910/Computers-and-Internet,https://www.gateshead.gov.uk/article/10326/Fees-and-charges-from-1-April-2019,£0.00,£0.00,,,,https://www.gateshead.gov.uk/article/9649/Children-and-young-people,gatesheadlibraries,gatesheadlibraries,GatesheadLibs,UCGlxT6l-klMuadr5mXcVyTQ,,https://www.gateshead.gov.uk/article/9646/What-s-on,,,,,https://www.gateshead.gov.uk/article/10480/Gateshead-Libraries-news,,,,,,,,,,,,,,,,,,,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6337,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=6337,Capita,Alto,Prism,,,,,
Glasgow City,S12000049,,,https://www.glasgowlife.org.uk/libraries,,,https://libcat.csglasgow.org,https://play.google.com/store/apps/details?id=com.solus.glasgowlibraries,https://itunes.apple.com/gb/app/glasgow-libraries/id499000854?,info@glasgowlife.org.uk,0141 287 4350,https://www.glasgowlife.org.uk/libraries/join-the-library,https://www.glasgowlife.org.uk/venue-finder?channel=Libraries,,,,,https://libcat.csglasgow.org/web/arena/terms-and-conditions,£0.00,£0.00,,,,https://www.glasgowlife.org.uk/libraries/children-families-and-young-people/how-libraries-can-help-your-child,glasgowlife,GlasgowLibraries,GlasgowLib,UC5MTmWX8OpdRqXiWZZqTbsA,,https://www.glasgowlife.org.uk/whats-on?page=1&channel=Libraries,,,,,,,,,,,,,,,,,,,,,,,,Overdrive,https://glasgow.overdrive.com/,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=5818,Axiell,Spark,Arena,,,,,checked
Gloucestershire,E10000013,,,https://www.gloucestershire.gov.uk/libraries,,,https://gloucestershire.spydus.co.uk,https://play.google.com/store/apps/details?id=uk.co.solus.gloucester,https://itunes.apple.com/gb/app/gloucestershire-libraries/id638144430,ask@gloucestershire.gov.uk,01452 426991,https://www.gloucestershire.gov.uk/libraries/join-the-library/,https://www.gloucestershire.gov.uk/libraries/find-a-library/,,https://www.gloucestershire.gov.uk/libraries/library-activities-and-services/home-library-service/,https://www.gloucestershire.gov.uk/libraries/digital-services-library-computers/book-a-computer-free-wi-fi/,https://www.gloucestershire.gov.uk/libraries/digital-services-library-computers/book-a-computer-free-wi-fi/,https://www.gloucestershire.gov.uk/libraries/library-charges/,£0.15,£1.40,Week,,,https://www.gloucestershire.gov.uk/libraries/library-activities-and-services/facilities-and-activities-for-children/,gloucestershire_libraries,GloucestershireLibraries,gloslibs,UCRkIKlvvpoajcK3L8dBMx7g,,https://www.gloucestershire.gov.uk/libraries/library-activities-and-services/events-in-libraries/,gloucestershire-libraries-3143135002,,,,,https://public.govdelivery.com/accounts/UKGLOUCESTERSHIRE/subscriber/new?topic_id=UKGLOUCESTERSHIRE_12,,,,,,,,,,,,,,,,,,RBDigital,https://gloucestershire.rbdigitalglobal.com/,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=1265,Civica,Spydus,Spydus,,,,,checked
Greenwich,E09000011,,,https://www.royalgreenwich.gov.uk/libraries/,,,https://prism.librarymanagementcloud.co.uk/royalgreenwich,https://play.google.com/store/apps/details?id=uk.co.solus.RoyalGreenwichLibraries,https://itunes.apple.com/gb/app/royal-greenwich-libraries/id972506650,customerservices@gll.org,01527 852 384,https://www.royalgreenwich.gov.uk/info/200231/libraries/451/joining_a_library,https://www.royalgreenwich.gov.uk/directory/26/libraries,,https://www.royalgreenwich.gov.uk/info/200231/libraries/1022/home_library_service,https://www.royalgreenwich.gov.uk/info/200231/libraries/1534/computers_in_royal_greenwich_libraries,https://www.better.org.uk/library/london/greenwich/greenwich-centre-library/library_services#service_795,https://www.better.org.uk/library/london/greenwich/greenwich-centre-library/fees,£0.20,£0.20,Day,,,https://www.better.org.uk/library/london/greenwich/greenwich-centre-library/library_services#service_797,,Greenwich-Libraries-375637446612900,greenwichlibs,,,https://www.better.org.uk/library/london/greenwich/greenwich-centre-library/activities,,,,,,,,,,,,,,,,,,,,,,,,Overdrive,https://glllibraries.overdrive.com/,Overdrive,https://glllibraries.overdrive.com/,Capita,Alto,Prism,,,,,checked
Gwynedd,W06000002,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Libraries-and-archives.aspx,,,https://wales.ent.sirsidynix.net.uk/client/en_GB/gwynedd_en/,https://play.google.com/store/apps/details?id=uk.co.solus.LlyfrgelloeddCymru,https://apps.apple.com/us/app/id1528016233,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Joining-the-library.aspx,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Your-local-library.aspx,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Mobile-library-and-home-library-service.aspx,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Mobile-library-and-home-library-service.aspx,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Your-local-library.aspx,,"https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Fees,-guidelines-and-policies/Fees,-guidelines-and-policies.aspx",£0.00,£0.00,,,,https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Library-service-for-children-and-young-people.aspx,llyfrgellgwyneddlib,LlyfrgellGwyneddLibrary,llyfrgwyneddlib,,,,,,,,,,,,,,,,,,,,,,,,,,,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=4316,Bolinda,https://fe.bolindadigital.com/wldcs_bol_fo/b2i/mainPage.html?b2bSite=4316,SirsiDynix,Symphony,Portfolio,,,,,
