name,code,postcode,address,website,email,opened,closed
Bala Library,W06000002,LL23 7RU,"Bala Library, Campws Y Berwyn Campus, Ffrydan Rd, Bala LL23 7RU",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Bala-library.aspx,mailto:LLBala@gwynedd.llyw.cymru,,
Bangor Library,W06000002,LL57 1DT,"Bangor Library, Gwynedd Road, Bangor, Gwynedd, LL57 1DT, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Bangor-library.aspx,mailto:LLBangor@gwynedd.llyw.cymru,,
Barmouth Library,W06000002,LL42 1LU,"Barmouth Library, Station Road, Barmouth, Gwynedd, LL42 1LU, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Barmouth-Library.aspx,mailto:LLAbermaw@gwynedd.llyw.cymru,,
Bethesda Library,W06000002,LL57 3DP,"Bethesda Library, Ffordd Coetmor, Bethesda, Gwynedd, LL57 3DP, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Bethesda-library.aspx,mailto:LLBethesda@gwynedd.llyw.cymru,,
Blaenau Ffestiniog Library,W06000002,LL41 3DL,"Blaenau Ffestiniog Library, Canolfan Maenofferen, Blaenau Ffestiniog, Gwynedd, LL41 3DL, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Blaenau-Ffestiniog-library.aspx,mailto:LLBlaenau@gwynedd.llyw.cymru,,
Caernarfon Library,W06000002,LL55 1AS,"Caernarfon Library, Pavilion Hill, Caernarfon, Gwynedd, LL55 1AS, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Caernarfon-library.aspx,mailto:LLCaernarfon@gwynedd.llyw.cymru,,
Criccieth Library,W06000002,LL52 0RN,"Cricieth Library, High Street, Cricieth, Gwynedd, LL52 0RN, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Cricieth-library.aspx,mailto:LLCriccieth@gwynedd.llyw.cymru,,
Deiniolen Library,W06000002,,"Deiniolen Library, High Street, Deiniolen, Caernarfon LL55 3HR",,,,
Dolgellau Library,W06000002,LL40 2YF,"Dolgellau Library, Ffordd y Bala, Dolgellau, Gwynedd, LL40 2YF, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Dolgellau-library.aspx,mailto:LLDolgellau@gwynedd.llyw.cymru,,
Harlech Library,W06000002,,"Harlech Library, 2 Bron Y Graig, Harlech LL46 2SW",,,,
Llanberis Library,W06000002,,"Llanberis Library, Capel-Coch Road, Llanberis, Caernarfon LL55 4SH",,,,
Nefyn Library,W06000002,LL53 6EB,"Nefyn Library, Rhodfa'r Môr, Nefyn, Gwynedd, LL53 6EB, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Nefyn-library.aspx,mailto:LLNefyn@gwynedd.llyw.cymru,,
Penrhyndeudraeth Library,W06000002,,"Penrhyndeudraeth Library, Llys Deudraeth, Penrhyndeudraeth, LL48 6BL",,,,
Penygroes Library,W06000002,LL54 6LR,"Penygroes Library, Canolfan Dechnoleg Dyffryn Nantlle, Heol Y Dwr, Penygroes, Gwynedd, LL54 6LR, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Penygroes-library.aspx,mailto:LLPenygroes@gwynedd.llyw.cymru,,
Porthmadog Library,W06000002,LL49 9HW,"Porthmadog Library, Healthy Lifestyles Centre and Library - Glaslyn,  Stryd y Llan,  Porthmadog,  LL49 9HW",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Porthmadog-library.aspx,mailto:LLPorthmadog@gwynedd.llyw.cymru,,
Pwllheli Library,W06000002,LL53 5DE,"Pwllheli Library, Neuadd Dwyfor, Stryd Penlan, Pwllheli, Gwynedd, LL53 5DE, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Pwllheli-library.aspx,mailto:LLPwllheli@gwynedd.llyw.cymru,,
Tywyn Library,W06000002,LL36 9HA,"Tywyn Library, Neptune Road, Tywyn, Gwynedd, LL36 9HA, Wales",https://www.gwynedd.llyw.cymru/en/Residents/Libraries-and-archives/Your-local-library/Tywyn-library.aspx,mailto:LLTywyn@gwynedd.llyw.cymru,,
Abergele Library,W06000003,LL22 7BP,"Abergele Library, Market Street, Abergele, Conwy, LL22 7BP, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Abergele-Library.aspx,mailto:abergele.library@conwy.gov.uk,,
Cerrigydrudion Library,W06000003,LL21 9TF,"Cerrigydrudion Library, King Street, Cerrigydrudion, Corwen, Conwy, LL21 9TF, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Cerrigydrudion-Library.aspx,mailto:cerrig.library@conwy.gov.uk,,
Colwyn Bay Library,W06000003,LL29 7DH,"Colwyn Bay Library, Woodland Road West, Colwyn Bay, Conwy, LL29 7DH, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Colwyn-Bay-Library.aspx,mailto:colwynbay.library@conwy.gov.uk,,
Conwy Library,W06000003,,"Conwy Library, Civic Hall,  Castle Street, Conwy, LL32 8AY, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Conwy-Library.aspx,mailto:conwy.library@conwy.gov.uk,,
Deganwy Library,W06000003,,"Deganwy Library, 219 Station Road, Deganwy, Conwy, LL31 9EX",,,,2014-10-01T00:00:00Z
Kinmel Bay Library,W06000003,LL18 5BT,"Kinmel Bay Library, Community Centre, Kendal Road, Kinmel Bay, Conwy, LL18 5BT, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Kinmel-Bay-Library.aspx,mailto:kinmelbay.library@conwy.gov.uk,,
Llandudno Junction Library,W06000003,,"Llandudno Junction Library, Llandudno Junction LL31 9HA",,,,2012-01-01T00:00:00Z
Llandudno Library,W06000003,LL30 2RP,"Llandudno Library, Mostyn Street, Llandudno, Conwy, LL30 2RP, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llandudno-Library.aspx,mailto:llandudno.library@conwy.gov.uk,,
Llanfairfechan Library,W06000003,LL33 0AA,"Llanfairfechan Library, Village Road, Llanfairfechan, Conwy, LL33 0AA, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llanfairfechan-Library.aspx,mailto:llanfairfechan.library@conwy.gov.uk,,
Llanrwst Library,W06000003,LL26 0DF,"Llanrwst Library, Plas yn Dre, Station Road, Llanrwst, Conwy, LL26 0DF, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llanrwst-Library.aspx,mailto:Llanrwst.library@conwy.gov.uk,,
Penmaenmawr Library,W06000003,LL34 6DA,"Penmaenmawr Library, Bangor Road, Penmaenmawr, Conwy, LL34 6DA, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Penmaenmawr-Library.aspx,mailto:penmaenmawr.library@conwy.gov.uk,,
Penrhyn Bay Library,W06000003,LL30 3HN,"Penrhyn Bay Library, Llandudno Road, Penrhyn Bay, Nr Llandudno, Conwy, LL30 3HN, Wales",http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Penrhyn-Bay-Library.aspx,mailto:penrhynbay.library@conwy.gov.uk,,
Corwen Library,W06000004,LL21 0DR,"Corwen Library, Neuadd Edeyrnion, London Road, Corwen, Denbighshire, LL21 0DR, Wales",https://www.denbighshire.gov.uk/en/resident/contact-us/visit-us/find-a-council-building-or-office/corwen-one-stop-shop.aspx,mailto:library@denbighshrie.gov.uk,,
Denbigh Library and Gallery,W06000004,LL16 3NU,"Denbigh Library, Hall Square, Denbigh, Denbighshire, LL16 3NU, Wales",,mailto:library@denbighshrie.gov.uk,,
Llangollen Library,W06000004,LL20 8NY,"Llangollen Library, Y Capel, 19-21 Castle Street, Llangollen, Denbighshire, LL20 8NY, Wales",https://www.denbighshire.gov.uk/en/resident/contact-us/visit-us/find-a-council-building-or-office/denbigh-one-stop-shop.aspx,mailto:library@denbighshrie.gov.uk,,
Prestatyn Library,W06000004,LL19 9AA,"Prestatyn Library+ and One Stop Shop, 21 Kings Avenue,  Prestatyn,  Denbighshire,  LL19 9AA,  Wales",,mailto:library@denbighshrie.gov.uk,,
Rhuddlan Library,W06000004,LL18 2UE,"Rhuddlan Library and One Stop Shop, Vicarage Lane, Rhuddlan, Rhyl, Denbighshire, LL18 2UE, Wales",,mailto:library@denbighshrie.gov.uk,,
Rhyl Library,W06000004,LL18 3AA,"Rhyl Library and One Stop Shop, Church Street, Rhyl, Denbighshire, LL18 3AA, Wales",,mailto:library@denbighshrie.gov.uk,,
Ruthin Library,W06000004,LL15 1DS,"Ruthin Library, Record Street, Ruthin, Denbighshire, LL15 1DS, Wales",https://www.denbighshire.gov.uk/en/resident/libraries-and-archives/find-a-library-or-archive/ruthin-library.aspx,mailto:library@denbighshrie.gov.uk,,
St Asaph Library,W06000004,LL17 0LU,"St Asaph Library, The Roe, St Asaph, Denbighshire, LL17 0LU, Wales",https://www.denbighshire.gov.uk/en/resident/contact-us/visit-us/find-a-council-building-or-office/st-asaph-one-stop-shop.aspx,mailto:library@denbighshrie.gov.uk,,
Bagillt Library,W06000005,,"Bagillt Library, Bagillt CH6 6EQ",,,,
Broughton Library,W06000005,CH4 0QQ,"Broughton Library, Broughton Hall Road, Broughton, Buckley, Flintshire, CH4 0QQ, Wales",,mailto:broughton.library@flintshire.gov.uk,,
"Buckley Library, Museum and Gallery",W06000005,CH7 2EF,"Buckley Library, The Precinct, Deeside, Flintshire, CH7 2EF, Wales",https://www.visitwales.com/product/1209159,mailto:buckley.library@flintshire.gov.uk,,
Connah's Quay Library,W06000005,CH5 4HA,"Connah's Quay Library, Wepre Drive, Connah'S Quay, Flintshire, CH5 4HA, Wales",,mailto:connahs.quay.library@flintshire.gov.uk,,
Deeside Library,W06000005,CH5 1SA,"Deeside Library, Deeside Leisure Centre, Chester Road West, Queensferry, Deeside, Flintshire, CH5 1SA, Wales",,mailto:deeside.library@flintshire.gov.uk,,
Flint Library,W06000005,CH6 5AP,"Flint Library Learners Centre, Church Street, Flint, Flintshire, CH6 5AP, Wales",,mailto:flint.library@flintshire.gov.uk,,
Halkyn Library,W06000005,CH8 8BU,"Halkyn Library, The Village Hall, Halyn, Holywell, Flintshire, CH8 8BU",,mailto:halkyn.library@flintshire.gov.uk,,
Holywell Library,W06000005,CH8 7UZ,"Holywell Library, Fron Park Road,  Holywell,  Flinshire,  CH8 7UZ,  Wales",https://aura.wales/libraries/libraries-and-contact-details/,mailto:holywell.library@flintshire.gov.uk,,
Mold Library,W06000005,CH7 1AP,"Mold Library and @nswers centre, Earl Road, Mold, Flintshire, CH7 1AP, Wales",,mailto:mold.library@flintshire.gov.uk,,
Mynydd Isa Library,W06000005,,"Mynydd Isa Library, Mynydd Isa Community Centre, Mercia Drive, Mynydd Isa, Mold, Flintshire, CH7 6UH",,,,
Brynteg Library,W06000006,LL11 6AB,"Brynteg Library, The Memorial Centre, Quarry Road, Wrexham, Wrexham, LL11 6AB, Wales",,mailto:brynteg.library@wrexham.gov.uk,,
Cefn Mawr Library,W06000006,LL14 3AT,"Cefn Mawr Library, Plas Kynaston, Cefn Mawr, Wrexham, Wrexham, LL14 3AT, Wales",,mailto:cefnmawr.library@wrexham.gov.uk,,
Chirk Library,W06000006,LL14 5NF,"Chirk Library, Chapel Lane, Chirk, Wrexham, Wrexham, LL14 5NF, Wales",,mailto:chirk.library@wrexham.gov.uk,,
Coedpoeth Library,W06000006,LL11 3NA,"Coedpoeth Library, Plas Pentwyn, Castle Road, Wrexham, Wrexham, LL11 3NA, Wales",,mailto:coedpoeth.library@wrexham.gov.uk,,
Gresford Library,W06000006,LL12 8UW,"Gresford Library, Vicarage Lane, Gresford, Wrexham, LL12 8UW, Wales",,mailto:gresfordlibrary@hotmail.com,,
Gwersyllt Library,W06000006,LL11 4ED,"Gwersyllt Library, Gwersyllt Community Resource Centre, Second Avenue, Wrexham, Wrexham, LL11 4ED, Wales",http://www.wrexham.gov.uk/english/community/libraries/gwersyllt_library.htm,,,
Llay Library,W06000006,LL12 0TR,"Llay Park Library and Resource Centre, Market Square, Llay, Wrexham, Wrexham, LL12 0TR, Wales",,mailto:llay.library@wrexham.gov.uk,,
Overton Library,W06000006,LL13 0EE,"Overton Library, Cocoa Rooms, Overton, Wrexham, Wrexham, LL13 0EE, Wales",,mailto:overton.library@wrexham.gov.uk,,
Rhos Library,W06000006,LL14 1AB,"Rhos Library, Princes Road, Rhos, Wrexham, Wrexham, LL14 1AB, Wales",,mailto:rhos.library@wrexham.gov.uk,,
Ruabon Library,W06000006,LL14 6NH,"Ruabon Library, High Street, Ruabon, Wrexham, Wrexham, LL14 6NH, Wales",,mailto:ruabon.library@wrexham.gov.uk,,
Wrexham Library,W06000006,LL11 1AU,"Wrexham Library, Rhosddu Road, Wrexham, Wrexham, Wrexham, LL11 1AU, Wales",,mailto:library@wrexham.gov.uk,,
Aberaeron Library,W06000008,SA46 0AT,"Aberaeron Library, County Hall, Aberaeron, Ceredigion, SA46 0AT, Wales",http://libraries.ceredigion.gov.uk,,,
Aberystwyth Library,W06000008,SY23 2EB,"Aberystwyth Library, Canolfan Alun.R Edwards,  Queens Square,  Aberystwyth,  SY23 2EB",http://libraries.ceredigion.gov.uk,,,
Cardigan Library,W06000008,SA43 1DG,"Cardigan Library, Council Offices,  Morgan Street,  Cardigan,  SA43 1DG",http://libraries.ceredigion.gov.uk,,,
Lampeter Library,W06000008,SA48 7DR,"Lampeter Library, Market Street, Lampeter, Ceredigion, SA48 7DR, Wales",http://libraries.ceredigion.gov.uk,,,
Llandysul Library,W06000008,SA44 4QS,"Llandysul Library, Canolfan Ceredigion, Llandysul, Ceredigion, SA44 4QS, Wales",http://libraries.ceredigion.gov.uk,,,
New Quay Library,W06000008,SA45 9QH,"New Quay Library, Uplands Square, New Quay, Ceredigion, SA45 9QH, Wales",http://libraries.ceredigion.gov.uk,,,
Crymych Library,W06000009,SA41 3QF,"Crymych Library, Preseli School, Crymych, Pembrokeshire, SA41 3QF, Wales",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/crymych-library,mailto:crymychlibrary@pembrokeshire.gov.uk,,
Fishguard Library,W06000009,SA65 9HA,"Fishguard Library, Town Hall,  Market Square,  Fishguard,  Pembrokeshire,  SA65 9HA",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/fishguard-library,mailto:fishguardlibrary@pembrokeshire.gov.uk,,
Haverfordwest Library,W06000009,SA61 2AN,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/haverfordwest-library-and-information-centre,mailto:haverfordwestlendinglibrary@pembrokeshire.gov.uk,,
Milford Haven Library,W06000009,SA73 3JP,"Milford Haven Library and Information Centre, Cedar Court,  Haven's Head Business Park,  Milford Haven,  Pembrokeshire,  SA73 3LS",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/milford-haven-library-and-information-centre,mailto:milfordhavenlibrary@pembrokeshire.gov.uk,,
Narberth Library,W06000009,SA67 7BU,"Narberth Community Library, St James Street, Narberth, Pembrokeshire, SA67 7BU, Wales",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/narberth-community-library,mailto:narberthlibrary@pembrokeshire.gov.uk,,
Newport Community Library,W06000009,,"Newport Community Library, Bank House, Bridge Street, Newport, Pembrokeshire, SA42 0TB",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/newport-community-library,mailto:newportlibrary@pembrokeshire.gov.uk,,
Neyland Library,W06000009,SA73 1SH,"Neyland Library and Customer Service Centre, St Clements Road, Neyland, Pembrokeshire, SA73 1SH, Wales",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/neyland-library-and-customer-service-centre,mailto:neylandlibrary@pembrokeshire.gov.uk,,
Pembroke Dock Library,W06000009,SA72 6DW,"Pembroke Dock Library, Water Street, Pembroke, Pembrokeshire, SA72 6DW, Wales",http://www.pembrokeshire.gov.uk/content.asp?nav=2%2C107%2C108,mailto:pembrokedocklibrary@pembrokeshire.gov.uk,,
Pembroke Library,W06000009,SA71 4NP,"Pembroke Library and Information Centre, 38 Main Street, Pembroke, Pembrokeshire, SA71 4NP, Wales",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/pembroke-library-and-information-centre,mailto:pembrokelibrary@pembrokeshire.gov.uk,,
Saundersfoot Library,W06000009,SA69 9NG,"Saundersfoot Library and Information Centre, Regency Hall, Saundersfoot, Pembrokeshire, SA69 9NG, Wales",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/saundersfoot-library-and-information-centre,mailto:saundersfootlibrary@pembrokeshire.gov.uk,,
St Davids Library,W06000009,SA62 6SD,"St Davids Library, City Hall, High Street, St Davids, Pembrokeshire, SA62 6SD, Wales",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/st-davids-library,mailto:stdavidslibrary@pembrokeshire.gov.uk,,
Tenby Library,W06000009,SA70 7LB,"Tenby Library, Greenhill House, Tenby, Pembrokeshire, SA70 7LB, Wales",https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/tenby-library,mailto:tenbylibrary@pembrokeshire.gov.uk,,
Ammanford Library,W06000010,SA18 3DN,"Ammanford Library, 3 Wind Street, Ammanford, Carmarthenshire, SA18 3DN, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/ammanford-library.aspx#.Wku34o_XLIU,,,
Bedol Library,W06000010,SA18 2GB,"Bedol Library, Ysgol y Bedol, Folland Road, Garnant, Carmarthenshire, SA18 2GB",http://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/find-a-library/bedol-library/,,,
Brynaman Library,W06000010,SA18 1BU,"Brynaman Library, Community Centre,  Cwmgarw Road,  Brynaman,  SA18 1BU",https://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/find-a-library/brynaman-library/,,,
Burry Port Library,W06000010,SA16 0AE,"Burry Port Library, Brynmor House, Carway Street, Burry Port, Carmarthenshire, SA16 0AE, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/burry-port-library.aspx#.Wk5ZYY_XLIU,,,
Carmarthen Library,W06000010,SA31 1LN,"Carmarthen Library, St Peters Street, Carmarthen, Carmarthenshire, SA31 1LN, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/carmarthen-library/,,,
Cross Hands Library,W06000010,SA14 6SU,"Cross Hands Library, Carmarthen Road,  Cross Hands,  SA14 6SU",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/cross-hands-library.aspx#.Wk5af4_XLIU,,,
Dafen Library,W06000010,,"Dafen Library, Parish Church Hall, Dafen, Llanelli, SA15 8LR",,,,
Garnant Library,W06000010,,"Garnant Library, 77 Cwmamman Road, Garnant, Ammanford, SA18 1ND",,,,
Kidwelly Library,W06000010,SA17 4UL,"Kidwelly Library, Princess Gwenllian Centre,  Hillfield Villas,  Kidwelly,  SA17 4UL",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/kidwelly-library.aspx#.Wk_xdUx2vIU,,,
Llandeilo Library,W06000010,SA19 6HN,"Llandeilo Library, Crescent Road, Llandeilo, Carmarthenshire, SA19 6HN, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llandeilo-library.aspx#.Wk_0Dkx2vIU,,,
Llandovery Library,W06000010,SA20 0AA,"Llandovery Library, Town Hall,  Market Square,  Llandovery SA20 0AA",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llandovery-library/,,,
Llanelli Library,W06000010,SA15 3AS,"Llanelli Library, Vaughan Street, Llanelli, Carmarthenshire, SA15 3AS, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llanelli-library/,,,
Llangennech Library,W06000010,SA14 8TH,"Llangennech Library, Community Centre,  Rear of Hendre Road,  Nr. Old Bridge Inn,  Llangennech, Carmarthenshire, SA14 8TH, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llangennech-library.aspx#.Wk_3KUx2vIU,,,
Llanybydder Library,W06000010,,"Llanybydder Library, Day Centre, Market Square, Llanybydder, SA40 9TY",,,,
Llwynhendy Library,W06000010,SA14 9HH,"Llwynhendy Library, Heol Elfed, Llwynhendy, Llanelli, Carmarthenshire, SA14 9HH, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llwynhendy-library.aspx#.Wk_5EEx2vIU,,,
Newcastle Emlyn Library,W06000010,SA38 9AB,"Newcastle Emlyn Library, Church Lane, Newcastle Emlyn, Carmarthenshire, SA38 9AB, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/newcastle-emlyn-library.aspx#.Wk_6lEx2vIU,,,
Pembrey Library,W06000010,SA16 0TP,"Pembrey Library, The Old School,  Ashburnham Road,  Pembrey,  SA16 0TP",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/pembrey-library.aspx#.Wk_7BUx2vIU,,,
Pontyates Library,W06000010,SA15 5SC,"Pontyates library, Welfare Hall,  Meinciau Road,  Pontyates,  SA15 5SC",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/pontyates-library.aspx#.Wk_-2Ex2vIU,,,
Pontyberem Library,W06000010,SA15 5HH,"Pontyberem Library, Memorial Hall,  Coalbrook Road,  Pontyberem,  SA15 5HH, Wales",,,,
St. Clears Library,W06000010,SA33 4AA,"St Clears Library, The Gate, Pentre Road, Carmarthen, Carmarthenshire, SA33 4AA, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/st-clears-library.aspx#.Wk_8cUx2vIU,,,
Whitland Library,W06000010,SA34 0AG,"Whitland Library, Town Hall, King Edward Street, Carmarthen, Carmarthenshire, SA34 0AG, Wales",http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/whitland-library.aspx,,,
Bonymaen Library,W06000011,SA1 7AW,"Bonymaen Library, Bonymaen Community Centre, Bonymaen Road, Bonymaen, Swansea, SA1 7AW, Wales",https://www.swansea.gov.uk/bonymaenlibrary?contactid=2158,mailto:bonymaen@swansea.gov.uk,,
Brynhyfryd Library,W06000011,SA5 9LH,"Brynhyfryd Library, Llangyfelach Road, Brynhyfryd, Swansea, Swansea, SA5 9LH, Wales",https://www.swansea.gov.uk/brynhyfrydlibrary?contactid=2158,mailto:brynhyfryd.library@swansea.gov.uk,,
Clydach Library,W06000011,SA6 5LN,"Clydach Library, High Street, Clydach, Swansea, Swansea, SA6 5LN, Wales",https://www.swansea.gov.uk/clydachlibrary?contactid=2158,mailto:clydach.library@swansea.gov.uk,,
Fforestfach Library,W06000011,SA5 8DA,"Fforestfach Library, Kings Head Road, Gendros, Swansea, Swansea, SA5 8DA, Wales",https://www.swansea.gov.uk/fforestfachlibrary?contactid=2158,mailto:fforestfach.library@swansea.gov.uk,,
Gorseinon Library,W06000011,SA4 4AA,"Gorseinon Library, 15 West Street, Gorseinon, Swansea, Swansea, SA4 4AA, Wales",https://www.swansea.gov.uk/gorseinonlibrary?contactid=2158,mailto:gorseinon.library@swansea.gov.uk,,
Gowerton Library,W06000011,SA4 3BU,"Gowerton Library, Mansel Street, Gowerton, Swansea, Swansea, SA4 3BU, Wales",https://www.swansea.gov.uk/gowertonlibrary?contactid=2158,mailto:gowerton.library@swansea.gov.uk,,
Killay Library,W06000011,SA2 7QS,"Killay Library, St Hillary's Church Hall, Gower Road, Swansea, Swansea, SA2 7QS, Wales",https://www.swansea.gov.uk/killaylibrary?contactid=2158,mailto:killay.library@swansea.gov.uk,,
Llansamlet Library,W06000011,SA7 9BD,"Llansamlet Library, 242 Peniel Green Road, Llansamlet, Swansea, Swansea, SA7 9BD, Wales",https://www.swansea.gov.uk/llansamletlibrary?contactid=2158,,,
Morriston Library,W06000011,SA6 7AA,"Morriston Library, Treharne Road, Morriston, Swansea, Swansea, SA6 7AA, Wales",https://www.swansea.gov.uk/morristonlibrary?contactid=2158,mailto:morriston.library@swansea.gov.uk,,
Oystermouth Library,W06000011,SA3 4AA,"Oystermouth Library, Dunns Lane, Mumbles, Swansea, SA3 4AA, Wales",http://www.swansea.gov.uk/oystermouthlibrary,mailto:oystermouth.library@swansea.gov.uk,,
Penlan Library,W06000011,SA5 7AH,"Penlan Library, Heol Frank, Penlan, Swansea, Swansea, SA5 7AH, Wales",https://www.swansea.gov.uk/penlanlibrary?contactid=2158,mailto:penlan.library@swansea.gov.uk,,
