Local authority code,Library name,Address 1,Address 2,Address 3,Postcode,Type of library,Statutory,Year opened,Year closed,URL,Email address
W06000003,Deganwy Library,219 Station Road,Deganwy,Conwy,LL31 9EX,LAL,False,,2014,,
W06000003,Kinmel Bay Library,Community Centre,Kendal Road,Kinmel Bay,LL18 5BT,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Kinmel-Bay-Library.aspx,mailto:kinmelbay.library@conwy.gov.uk
W06000003,Llandudno Junction Library,Llandudno Junction,,,LL31 9HA,LAL,False,,2012,,
W06000003,Llandudno Library,Mostyn Street,Llandudno,Conwy,LL30 2RP,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llandudno-Library.aspx,mailto:llandudno.library@conwy.gov.uk
W06000003,Llanfairfechan Library,Village Road,Llanfairfechan,Conwy,LL33 0AA,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llanfairfechan-Library.aspx,mailto:llanfairfechan.library@conwy.gov.uk
W06000003,Llanrwst Library,Plas yn Dre,Station Road,Llanrwst,LL26 0DF,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Llanrwst-Library.aspx,mailto:Llanrwst.library@conwy.gov.uk
W06000003,Penmaenmawr Library,Bangor Road,Penmaenmawr,Conwy,LL34 6DA,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Penmaenmawr-Library.aspx,mailto:penmaenmawr.library@conwy.gov.uk
W06000003,Penrhyn Bay Library,Llandudno Road,Penrhyn Bay,Nr Llandudno,LL30 3HN,LAL,True,,,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Libraries-and-opening-times/Penrhyn-Bay-Library.aspx,mailto:penrhynbay.library@conwy.gov.uk
W06000004,Corwen Library,Neuadd Edeyrnion,London Road,Corwen,LL21 0DR,LAL,True,,,https://www.denbighshire.gov.uk/en/resident/contact-us/visit-us/find-a-council-building-or-office/corwen-one-stop-shop.aspx,mailto:library@denbighshrie.gov.uk
W06000004,Denbigh Library and Gallery,Hall Square,Denbigh,Denbighshire,LL16 3NU,LAL,True,,,,mailto:library@denbighshrie.gov.uk
W06000004,Llangollen Library,Y Capel,19-21 Castle Street,Llangollen,LL20 8NY,LAL,True,,,https://www.denbighshire.gov.uk/en/resident/contact-us/visit-us/find-a-council-building-or-office/denbigh-one-stop-shop.aspx,mailto:library@denbighshrie.gov.uk
W06000004,Prestatyn Library,21 Kings Avenue,Prestatyn,Denbighshire,LL19 9AA,LAL,True,,,,mailto:library@denbighshrie.gov.uk
W06000004,Rhuddlan Library,Vicarage Lane,Rhuddlan,Rhyl,LL18 2UE,LAL,True,,,,mailto:library@denbighshrie.gov.uk
W06000004,Rhyl Library,Church Street,Rhyl,Denbighshire,LL18 3AA,LAL,True,,,,mailto:library@denbighshrie.gov.uk
W06000004,Ruthin Library,Record Street,Ruthin,Denbighshire,LL15 1DS,LAL,True,,,https://www.denbighshire.gov.uk/en/resident/libraries-and-archives/find-a-library-or-archive/ruthin-library.aspx,mailto:library@denbighshrie.gov.uk
W06000004,St Asaph Library,The Roe,St Asaph,Denbighshire,LL17 0LU,LAL,True,,,https://www.denbighshire.gov.uk/en/resident/contact-us/visit-us/find-a-council-building-or-office/st-asaph-one-stop-shop.aspx,mailto:library@denbighshrie.gov.uk
W06000005,Bagillt Library,Bagillt,,,CH6 6EQ,CL,True,,,,
W06000005,Broughton Library,Broughton Hall Road,Broughton,Buckley,CH4 0QQ,CL,True,,,,mailto:broughton.library@flintshire.gov.uk
W06000005,"Buckley Library, Museum and Gallery",The Precinct,Deeside,Flintshire,CH7 2EF,CL,True,,,https://www.visitwales.com/product/1209159,mailto:buckley.library@flintshire.gov.uk
W06000005,Connah's Quay Library,Wepre Drive,Connah'S Quay,Flintshire,CH5 4HA,CL,True,,,,mailto:connahs.quay.library@flintshire.gov.uk
W06000005,Deeside Library,Deeside Leisure Centre,Chester Road West,Queensferry,CH5 1SA,CL,True,,,,mailto:deeside.library@flintshire.gov.uk
W06000005,Flint Library,Church Street,Flint,Flintshire,CH6 5AP,CL,True,,,,mailto:flint.library@flintshire.gov.uk
W06000005,Halkyn Library,The Village Hall,Halyn,Holywell,CH8 8BU,CL,True,,,,mailto:halkyn.library@flintshire.gov.uk
W06000005,Holywell Library,Fron Park Road,Holywell,Flinshire,CH8 7UZ,CL,True,,,https://aura.wales/libraries/libraries-and-contact-details/,mailto:holywell.library@flintshire.gov.uk
W06000005,Mold Library,Earl Road,Mold,Flintshire,CH7 1AP,CL,True,,,,mailto:mold.library@flintshire.gov.uk
W06000005,Mynydd Isa Library,Mynydd Isa Community Centre,Mercia Drive,Mynydd Isa,CH7 6UH,CL,True,,,,
W06000006,Brynteg Library,The Memorial Centre,Quarry Road,Wrexham,LL11 6AB,LAL,True,,,,mailto:brynteg.library@wrexham.gov.uk
W06000006,Cefn Mawr Library,Plas Kynaston,Cefn Mawr,Wrexham,LL14 3AT,LAL,True,,,,mailto:cefnmawr.library@wrexham.gov.uk
W06000006,Chirk Library,Chapel Lane,Chirk,Wrexham,LL14 5NF,LAL,True,,,,mailto:chirk.library@wrexham.gov.uk
W06000006,Coedpoeth Library,Plas Pentwyn,Castle Road,Wrexham,LL11 3NA,LAL,True,,,,mailto:coedpoeth.library@wrexham.gov.uk
W06000006,Gresford Library,Vicarage Lane,Gresford,Wrexham,LL12 8UW,LAL,True,,,,mailto:gresfordlibrary@hotmail.com
W06000006,Gwersyllt Library,Gwersyllt Community Resource Centre,Second Avenue,Wrexham,LL11 4ED,LAL,True,,,http://www.wrexham.gov.uk/english/community/libraries/gwersyllt_library.htm,
W06000006,Llay Library,Market Square,Llay,Wrexham,LL12 0TR,LAL,True,,,,mailto:llay.library@wrexham.gov.uk
W06000006,Overton Library,Cocoa Rooms,Overton,Wrexham,LL13 0EE,LAL,True,,,,mailto:overton.library@wrexham.gov.uk
W06000006,Rhos Library,Princes Road,Rhos,Wrexham,LL14 1AB,LAL,True,,,,mailto:rhos.library@wrexham.gov.uk
W06000006,Ruabon Library,High Street,Ruabon,Wrexham,LL14 6NH,LAL,True,,,,mailto:ruabon.library@wrexham.gov.uk
W06000006,Wrexham Library,Rhosddu Road,Wrexham,Wrexham,LL11 1AU,LAL,True,,,,mailto:library@wrexham.gov.uk
W06000008,Aberaeron Library,County Hall,Aberaeron,Ceredigion,SA46 0AT,LAL,True,,,http://libraries.ceredigion.gov.uk,
W06000008,Aberystwyth Library,Canolfan Alun.R Edwards,Queens Square,Aberystwyth,SY23 2EB,LAL,True,,,http://libraries.ceredigion.gov.uk,
W06000008,Cardigan Library,Council Offices,Morgan Street,Cardigan,SA43 1DG,LAL,True,,,http://libraries.ceredigion.gov.uk,
W06000008,Lampeter Library,Market Street,Lampeter,Ceredigion,SA48 7DR,LAL,True,,,http://libraries.ceredigion.gov.uk,
W06000008,Llandysul Library,Canolfan Ceredigion,Llandysul,Ceredigion,SA44 4QS,LAL,True,,,http://libraries.ceredigion.gov.uk,
W06000008,New Quay Library,Uplands Square,New Quay,Ceredigion,SA45 9QH,LAL,True,,,http://libraries.ceredigion.gov.uk,
W06000009,Crymych Library,Preseli School,Crymych,Pembrokeshire,SA41 3QF,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/crymych-library,mailto:crymychlibrary@pembrokeshire.gov.uk
W06000009,Fishguard Library,Town Hall,Market Square,Fishguard,SA65 9HA,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/fishguard-library,mailto:fishguardlibrary@pembrokeshire.gov.uk
W06000009,Haverfordwest Library,,,,SA61 2AN,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/haverfordwest-library-and-information-centre,mailto:haverfordwestlendinglibrary@pembrokeshire.gov.uk
W06000009,Milford Haven Library,Cedar Court,Haven's Head Business Park,Milford Haven,SA73 3JP,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/milford-haven-library-and-information-centre,mailto:milfordhavenlibrary@pembrokeshire.gov.uk
W06000009,Narberth Library,St James Street,Narberth,Pembrokeshire,SA67 7BU,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/narberth-community-library,mailto:narberthlibrary@pembrokeshire.gov.uk
W06000009,Newport Community Library,Bank House,Bridge Street,Newport,SA42 0TB,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/newport-community-library,mailto:newportlibrary@pembrokeshire.gov.uk
W06000009,Neyland Library,St Clements Road,Neyland,Pembrokeshire,SA73 1SH,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/neyland-library-and-customer-service-centre,mailto:neylandlibrary@pembrokeshire.gov.uk
W06000009,Pembroke Dock Library,Water Street,Pembroke,Pembrokeshire,SA72 6DW,LAL,True,,,http://www.pembrokeshire.gov.uk/content.asp?nav=2%2C107%2C108,mailto:pembrokedocklibrary@pembrokeshire.gov.uk
W06000009,Pembroke Library,38 Main Street,Pembroke,Pembrokeshire,SA71 4NP,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/pembroke-library-and-information-centre,mailto:pembrokelibrary@pembrokeshire.gov.uk
W06000009,Saundersfoot Library,Regency Hall,Saundersfoot,Pembrokeshire,SA69 9NG,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/saundersfoot-library-and-information-centre,mailto:saundersfootlibrary@pembrokeshire.gov.uk
W06000009,St Davids Library,City Hall,High Street,St Davids,SA62 6SD,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/st-davids-library,mailto:stdavidslibrary@pembrokeshire.gov.uk
W06000009,Tenby Library,Greenhill House,Tenby,Pembrokeshire,SA70 7LB,LAL,True,,,https://www.pembrokeshire.gov.uk/pembrokeshire-libraries/tenby-library,mailto:tenbylibrary@pembrokeshire.gov.uk
W06000010,Ammanford Library,3 Wind Street,Ammanford,Carmarthenshire,SA18 3DN,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/ammanford-library.aspx#.Wku34o_XLIU,
W06000010,Bedol Library,Ysgol y Bedol,Folland Road,Garnant,SA18 2GB,LAL,True,,,http://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/find-a-library/bedol-library/,
W06000010,Brynaman Library,Community Centre,Cwmgarw Road,Brynaman,SA18 1BU,LAL,True,,,https://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/find-a-library/brynaman-library/,
W06000010,Burry Port Library,Brynmor House,Carway Street,Burry Port,SA16 0AE,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/burry-port-library.aspx#.Wk5ZYY_XLIU,
W06000010,Carmarthen Library,St Peters Street,Carmarthen,Carmarthenshire,SA31 1LN,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/carmarthen-library/,
W06000010,Cross Hands Library,Carmarthen Road,Cross Hands,,SA14 6SU,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/cross-hands-library.aspx#.Wk5af4_XLIU,
W06000010,Dafen Library,Parish Church Hall,Dafen,Llanelli,SA15 8LR,LAL,True,,,,
W06000010,Garnant Library,77 Cwmamman Road,Garnant,Ammanford,SA18 1ND,LAL,True,,,,
W06000010,Kidwelly Library,Princess Gwenllian Centre,Hillfield Villas,Kidwelly,SA17 4UL,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/kidwelly-library.aspx#.Wk_xdUx2vIU,
W06000010,Llandeilo Library,Crescent Road,Llandeilo,Carmarthenshire,SA19 6HN,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llandeilo-library.aspx#.Wk_0Dkx2vIU,
W06000010,Llandovery Library,Town Hall,Market Square,Llandovery,SA20 0AA,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llandovery-library/,
W06000010,Llanelli Library,Vaughan Street,Llanelli,Carmarthenshire,SA15 3AS,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llanelli-library/,
W06000010,Llangennech Library,Community Centre,Rear of Hendre Road,Nr. Old Bridge Inn,SA14 8TH,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llangennech-library.aspx#.Wk_3KUx2vIU,
W06000010,Llanybydder Library,Day Centre,Market Square,Llanybydder,SA40 9TY,LAL,True,,,,
W06000010,Llwynhendy Library,Heol Elfed,Llwynhendy,Llanelli,SA14 9HH,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/llwynhendy-library.aspx#.Wk_5EEx2vIU,
W06000010,Newcastle Emlyn Library,Church Lane,Newcastle Emlyn,Carmarthenshire,SA38 9AB,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/newcastle-emlyn-library.aspx#.Wk_6lEx2vIU,
W06000010,Pembrey Library,The Old School,Ashburnham Road,Pembrey,SA16 0TP,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/pembrey-library.aspx#.Wk_7BUx2vIU,
W06000010,Pontyates Library,Welfare Hall,Meinciau Road,Pontyates,SA15 5SC,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/pontyates-library.aspx#.Wk_-2Ex2vIU,
W06000010,Pontyberem Library,Memorial Hall,Coalbrook Road,Pontyberem,SA15 5HH,LAL,True,,,,
W06000010,St. Clears Library,The Gate,Pentre Road,Carmarthen,SA33 4AA,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/st-clears-library.aspx#.Wk_8cUx2vIU,
W06000010,Whitland Library,Town Hall,King Edward Street,Carmarthen,SA34 0AG,LAL,True,,,http://www.carmarthenshire.gov.wales/home/residents/libraries-archives/find-a-library/whitland-library.aspx,
W06000011,Bonymaen Library,Bonymaen Community Centre,Bonymaen Road,Bonymaen,SA1 7AW,LAL,True,,,https://www.swansea.gov.uk/bonymaenlibrary?contactid=2158,mailto:bonymaen@swansea.gov.uk
W06000011,Brynhyfryd Library,Llangyfelach Road,Brynhyfryd,Swansea,SA5 9LH,LAL,True,,,https://www.swansea.gov.uk/brynhyfrydlibrary?contactid=2158,mailto:brynhyfryd.library@swansea.gov.uk
W06000011,Clydach Library,High Street,Clydach,Swansea,SA6 5LN,LAL,True,,,https://www.swansea.gov.uk/clydachlibrary?contactid=2158,mailto:clydach.library@swansea.gov.uk
W06000011,Fforestfach Library,Kings Head Road,Gendros,Swansea,SA5 8DA,LAL,True,,,https://www.swansea.gov.uk/fforestfachlibrary?contactid=2158,mailto:fforestfach.library@swansea.gov.uk
W06000011,Gorseinon Library,15 West Street,Gorseinon,Swansea,SA4 4AA,LAL,True,,,https://www.swansea.gov.uk/gorseinonlibrary?contactid=2158,mailto:gorseinon.library@swansea.gov.uk
W06000011,Gowerton Library,Mansel Street,Gowerton,Swansea,SA4 3BU,LAL,True,,,https://www.swansea.gov.uk/gowertonlibrary?contactid=2158,mailto:gowerton.library@swansea.gov.uk
W06000011,Killay Library,St Hillary's Church Hall,Gower Road,Swansea,SA2 7QS,LAL,True,,,https://www.swansea.gov.uk/killaylibrary?contactid=2158,mailto:killay.library@swansea.gov.uk
W06000011,Llansamlet Library,242 Peniel Green Road,Llansamlet,Swansea,SA7 9BD,LAL,True,,,https://www.swansea.gov.uk/llansamletlibrary?contactid=2158,
W06000011,Morriston Library,Treharne Road,Morriston,Swansea,SA6 7AA,LAL,True,,,https://www.swansea.gov.uk/morristonlibrary?contactid=2158,mailto:morriston.library@swansea.gov.uk
W06000011,Oystermouth Library,Dunns Lane,Mumbles,Swansea,SA3 4AA,LAL,True,,,http://www.swansea.gov.uk/oystermouthlibrary,mailto:oystermouth.library@swansea.gov.uk
W06000011,Penlan Library,Heol Frank,Penlan,Swansea,SA5 7AH,LAL,True,,,https://www.swansea.gov.uk/penlanlibrary?contactid=2158,mailto:penlan.library@swansea.gov.uk
W06000011,Pennard Library,Pennard Road,Southgate,Pennard,SA3 2AD,LAL,True,,,https://www.swansea.gov.uk/pennardlibrary?contactid=2158,mailto:pennard.library@swansea.gov.uk
W06000011,Pontarddulais Library,St Michaels Avenue,Pontarddulais,Swansea,SA4 8TE,LAL,True,,,https://www.swansea.gov.uk/pontarddulaislibrary?contactid=2158,mailto:pontarddulais.library@swansea.gov.uk
W06000011,Sketty Library,Vivian Road,Sketty,Swansea,SA2 0UN,LAL,True,,,https://www.swansea.gov.uk/skettylibrary?contactid=2158,
W06000011,St Thomas Library,Grenfell Park Road,St Thomas,Swansea,SA1 8EZ,LAL,True,,,https://www.swansea.gov.uk/stthomaslibrary?contactid=2158,mailto:st.thomas.library@swansea.gov.uk
W06000011,Swansea Central Library,Civic Centre,Oystermouth Road,Swansea,SA1 3SN,LAL,True,,,https://www.swansea.gov.uk/centrallibrary?contactid=2158,mailto:libraryline@swansea.gov.uk
W06000011,Townhill Library,Phoenix Centre,Paradise Park,Townhill,SA1 6PH,LAL,True,,,https://www.swansea.gov.uk/townhilllibrary?contactid=2158,mailto:townhill.library@swansea.gov.uk
W06000012,Baglan Library,Laurel Avenue,Baglan,Port Talbot,SA12 8PA,LAL,True,,,https://www.npt.gov.uk/5729,mailto:baglan.library@npt.gov.uk
W06000012,Blaengwynfi Library,Library & Public Hall,Jersey Road,Blaengwynfi,SA13 3TD,LAL,True,,,,
W06000012,Briton Ferry Library,Neath Road,Briton Ferry,Neath Port Talbot,SA11 2AQ,LAL,True,,,https://www.npt.gov.uk/5731,
W06000012,Cwmafan Library,Depot Road,Cwmafan,Port Talbot,SA12 9DF,LAL,True,,,https://www.npt.gov.uk/5732,mailto:cwmafan.library@npt.gov.uk
W06000012,Cwmllynfell Library,18 Gwilym Road,Cwmllynfell,Swansea,SA9 2FG,LAL,True,,,,
W06000012,Cymmer Afan Library,Street Road,Port Talbot,,SA13 3HR,LAL,True,,,,
W06000012,Glynneath Library,Park Avenue,Glynneath,Neath,SA11 5DW,LAL,True,,,https://www.npt.gov.uk/5735,mailto:glynneath.library@npt.gov.uk
W06000012,Neath Library,Victoria Gardens,Neath,Neath Port Talbot,SA11 3BA,LAL,True,1905,,https://www.npt.gov.uk/5738,mailto:neath.library@npt.gov.uk
W06000012,Pontardawe Library,Holly Street,Pontardawe,Neath Port Talbot,SA8 4ET,LAL,True,,,https://www.npt.gov.uk/5740,mailto:pontardawe.library@npt.gov.uk
W06000012,Port Talbot Library,1st Floor,Aberafan Shopping Centre,Port Talbot,SA13 1PB,LAL,True,,,https://www.npt.gov.uk/5742,mailto:porttalbot.library@npt.gov.uk
W06000012,Resolven Library,Neath Road,Resolven,Neath,SA11 4AA,LAL,True,,,,
W06000012,Sandfields Library,Morrison Road,Sandfields,Port Talbot,SA12 6TG,LAL,True,,,https://www.npt.gov.uk/5746,mailto:sandfields.library@npt.gov.uk
W06000012,Seven Sisters Library,Seven Sisters Community Hall,Brynhyfryd Terrace,Seven Sisters,SA10 9BA,LAL,True,,,,
W06000012,Skewen Library,New Road,Skewen,Neath,SA10 6UU,LAL,True,,,https://www.npt.gov.uk/5748,mailto:skewen.library@npt.gov.uk
W06000012,Taibach Library,Commercial Road,Taibach,Port Talbot,SA13 1LN,LAL,True,,,http://www.taibachlibrary.org.uk/,
W06000012,Y Lolfa (Gwaun Cae Gurwen),New Community Hall,New Road,Gwaun Cae Gurwen,SA18 1UN,LAL,True,,,,
W06000012,Ystalyfera Library,72 Commercial Road,Ystalyfera,Swansea,SA9 2HS,LAL,True,,,,
W06000013,Aberkenfig Library,Heol y Llyfrau,Aberkenfig,Bridgend,CF32 9PT,CL,True,,,http://www.awen-libraries.com/aberkenfig-library/,mailto:aberkenfig.library@awen-wales.com
W06000013,Betws Library,Betws Centre,Betws,Bridgend,CF32 8TB,CL,True,,,http://www.awen-libraries.com/betws-library/,mailto:betws.library@awen-wales.com
W06000013,Blaengarw Library,Blaengarw Infants School,Station Street,Blaengarw,CF32 8BA,CL,True,,,,
