Library name,Address 1,Address 2,Address 3,Postcode,URL
Ardler Community Library,Turnberry Avenue ,,Dundee ,DD2 3TP,http://www.leisureandculturedundee.com/ardler-community-library
Ardnamurchan Community Library,Anaheilt,,Strontian,PH36 4JA,https://www.highlifehighland.com/libraries/ardnamurchan-community-library/
Ardrossan Library,39 Princes Street,,Ardrossan ,KA22 8BT,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000076
Armadale Library,North Street ,,Armadale,EH48 3QB,https://www.westlothian.gov.uk/article/2215/Armadale-Library
Arran Library,Main Street,,Brodick,KA27 8DL,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000077
Arthurstone Community Library,5 Arthurstone Terrace,,Dundee,DD4 6RT,http://www.leisureandculturedundee.com/arthurstone-community-library
Auchinleck Library,Well Road ,,Auchinleck,KA18 2JY,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=39
Auchterarder Library,Chapel Wynd,,Auchterarder,PH3 1BL,http://www.culturepk.org.uk/your-local-library/auchterarder-library/
Auchtermuchty Library,Town Hall,,30 High Street,KY14 7AP,http://onfife.com/venues/auchtermuchty-library
Aviemore Library,Muirton,,Aviemore,PH22 1SF,https://www.highlifehighland.com/libraries/aviemore-library/
Badenoch Library,Badenoch Centre,,Spey Street,PH21 1EH,https://www.highlifehighland.com/libraries/badenoch-library/
Balerno Library,1 Main Street,,Balerno,EH14 7EQ,https://www.edinburgh.gov.uk/directory_record/5054/balerno_library
Balfron Library,Buchanan Street,,Balfron ,G63 0TW,http://my.stirling.gov.uk/facilities/view/64
Balgreen Library,173 Balgreen Road,,Edinburgh,EH11 3AT,https://www.edinburgh.gov.uk/directory_record/5055/balgreen_library
Ballantrae Library,The Hall,,Ballantrae,KA26 0NB,https://www.south-ayrshire.gov.uk/libraries/branches/ballantrae-library.aspx
Ballater Library,Station Square,,Ballater,AB35 5QB,https://www.aberdeenshire.gov.uk/libraries/
Ballieston Library,141 Main Street,,Glasgow,G69 6AA,http://www.glasgowlife.org.uk/libraries/your-local-library/baillieston-library/Pages/home.aspx
Balloch Library,Carrochan Road,,Balloch,G83 8BW,http://www.west-dunbarton.gov.uk/libraries/library-branches/balloch-library/
Balmedie Library,Elgie Road,,Balmedie,AB23 8YF,https://www.aberdeenshire.gov.uk/libraries/
Baltasound Community Library,Baltasound Junior High School,,Unst,ZE2 9DY,http://www.shetland-library.gov.uk/OpeningHours.asp
Banchory Library,Bridge Street,,Banchory,AB31 5SU,https://www.aberdeenshire.gov.uk/libraries/
Banff Library,High Street,,Banff,AB45 1AE,http://www.aberdeenshire.gov.uk/libraries/index.asp
Bannockburn Library,38 Quakerfield,,Bannockburn,FK7 8HS,http://my.stirling.gov.uk/facilities/view/65
Barmulloch Library,46 Wallacewell Quadrant,,Glasgow ,G21 3PX,http://www.glasgowlife.org.uk/libraries/your-local-library/barmulloch-library/Pages/home.aspx
Barrhead Foundry Library,Main Street,,Barrhead,G78 1SW,http://www.ercultureandleisure.org/foundry-library
Bathgate (Simpson) Library ,Bathgate Partnership Centre,,South Bridge Street,EH48 1TS,https://www.westlothian.gov.uk/article/2228/Simpson-Library-Bathgate
Bearsden Library,Bearsden Community Hub,,Drymen Road,G61 3QT,http://www.edlc.co.uk/libraries/your-local-library/bearsden
Beauly Library,Station Road,,,IV4 7EH,https://www.highlifehighland.com/libraries/beauly-library/
Beith Library,39-41 Main Street,,Beith,KA15 2AD,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000079
Bellfield Library,79 Whatriggs Road,,Kilmarnock,KA1 3RB,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=40
Bellshill Cultural Centre Library,John Street,,Bellshill,ML4 1RJ,https://culturenl.co.uk/libraries/your-library/bellshill-cultural-centre/
Benarty Library,Benarty Centre,,Flockhouse Avenue,KY5 8JH,http://onfife.com/venues/benarty-library
Bettyhill Library and Service Point,Naver Teleservice Centre,,BettyHill ,KW14 7SS,https://www.highlifehighland.com/libraries/bettyhill-library-and-service-point/
Biggar Library,Market Road,,Biggar ,ML12 6FX,http://www.slleisureandculture.co.uk/info/74/biggar_library/142/contact_details
Birnam Library,Station Road,,Birnam,PH8 0DS,http://www.culturepk.org.uk/your-local-library/birnam-library/
Bishopbriggs Library,170 Kirkintilloch Road ,,Bishopbriggs,G64 2LX,http://www.edlc.co.uk/libraries/your-local-library/bishopbriggs
Bishopton Library,11 Greenock Road,,Bishopton,PA7 5JW,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Blackburn Connected,Mill Centre,,Blackburn,EH47 7LQ,https://www.westlothian.gov.uk/article/2229/Blackburn-Connected
Blackhall Library,56 Hillhouse Road ,,EH4 5EG,EH4 5EG,https://www.edinburgh.gov.uk/directory_record/5056/blackhall_library
Blackness Community Library,225 Perth Road,,Dundee,DD2 1EJ,http://www.leisureandculturedundee.com/blackness-community-library
Blackridge Library,Craig Inn Centre,,Blackridge,EH48 3SP,https://www.westlothian.gov.uk/article/2230/Blackridge-Library
Blackwood & Kirkmuirhill Library,Blackwood Primary School ,,Carlisle Road,ML11 9SB,http://www.slleisureandculture.co.uk/info/453/blackwood_and_kirkmuirhill
Blairgowrie Library,46A Leslie Street,,Blairgowrie,PH10 6AW,http://www.culturepk.org.uk/your-local-library/blairgowrie-library/
Blantyre Library,1A Clydeview Shopping Centre ,,Glasgow Road ,G72 0QD,http://www.slleisureandculture.co.uk/info/75/blantyre_library/155/contact_details
Bo'ness Library,Scotland's Close,,Bo'ness,EH51 0AH,http://www.falkirkcommunitytrust.org/venues/boness-library/
Boddam Library,26 Queens Road,,Boddam,AB42 3AX,https://www.aberdeenshire.gov.uk/libraries/
Bonar Bridge Library,West End,,Bonar Bridge,IV24 3EA,https://www.highlifehighland.com/libraries/bonar-bridge-library/
Bonnybridge Library,Bridge Street,,Bonnybridge,FK4 1AD,http://www.falkirkcommunitytrust.org/venues/bonnybridge-library/
Bothwell Lilbrary,The Donald Institute ,,2 Main Street ,G71 8RG,http://www.slleisureandculture.co.uk/info/76/bothwell_library
Bourtreehill Library,Cheviot Way ,,Bourtreehill ,KA11 1JU,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000080
Bracoden Library,Bracoden School,,Gamrie,AB45 3HA,https://www.aberdeenshire.gov.uk/libraries/
Breadalbane Community Library,Breadalbane Community Campus,,Crieff Road,PH15 2DU,http://www.culturepk.org.uk/your-local-library/breadalbane-community-library/
Brechin Library,St Ninian's Square ,,DD9 7AD,DD9 7AD,http://www.angus.gov.uk/libraries
Bridge of Allan Library,Fountain Road,,Bridge of Allan,FK9 4AT,http://my.stirling.gov.uk/facilities/view/66
Bridge of Don Library,Scotstown Road ,,Bridge of Don,AB22 8HH,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Bridge of Weir Library,Cargill Hall,,Lintwhite Crescent,PA11 3LJ,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Bridgeton Library,The Olympia Building,,2-16 Orr St,G40 2QH,http://www.glasgowlife.org.uk/libraries/your-local-library/bridgeton-library/Pages/home.aspx
Broadford Library,Broadford,,Isle of Skye,IV49 9AB,https://www.highlifehighland.com/libraries/broadford-library/
Brora Library and Cultural Centre,Gower St,, Brora,KW9 6PD,https://www.highlifehighland.com/libraries/brora-library-and-cultural-centre/
Broughty Ferry Community Library,Queen Street,,Broughty Ferry,DD5 2HN,http://www.leisureandculturedundee.com/broughty-ferry-community-library
Broxburn Library,Strathbrock Partnership Centre,, 189a West Main Street,EH52 5LH,https://www.westlothian.gov.uk/article/2234/Broxburn-Library
Buckhaven Library,Buckhaven Museum,,3 College Street,KY8 1LD,http://onfife.com/venues/buckhaven-museum
Buckie Library,Cluny Place ,,Buckie,AB56 1HB,http://www.moray.gov.uk/moray_standard/page_39960.html
Bucksburn Community Library,Kepplehills Road,,Aberdeen,AB21 9DG,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Burghead Library,Burghead Primary School,,Burghead ,IV30 5UQ,http://www.moray.gov.uk/moray_standard/page_39961.html
Burnbank Library,Burnbank Centre,,76 Burnbank Road ,ML3 0NA,http://www.slleisureandculture.co.uk/info/77/burnbank_library/166/contact_details
Burns House Museum & Library,Kay Park ,,Kilmarnock,KA5 5BZ,http://eastayrshireleisure.com/index.php?a=landing&id=6&sid=140&mid=163
Burntisland Library,102 High Street,,Burntisland,KY3 9AS,http://onfife.com/venues/burntisland-library-museum
Busby Library,Main Street,,Busby,G76 8DX,http://www.ercultureandleisure.org/busbylibrary
Cadham Library,Cadham Neighbourhood Centre,,Huntsman's Road,KY7 6RU,http://onfife.com/venues/cadham-library
Cairnbulg Library,Station Road,,Cairnbulg,AB43 8WQ,https://www.aberdeenshire.gov.uk/libraries/
Callander Library,South Church Street,,Callander,FK17 8BN,http://my.stirling.gov.uk/facilities/view/67
Cambusbarron Library,Community Centre,,St Ninians Road,FK7 9NU,http://my.stirling.gov.uk/facilities/view/68
Cambuslang Library,Cambuslang Gate ,,27 Main Street ,G72 7EX,http://www.slleisureandculture.co.uk/info/79/cambuslang_library
Campbeltown Library,Kinloch Road ,,Campbeltown,PA28 6EG,https://www.argyll-bute.gov.uk/library/campbeltown-library
Caol Library,Glenkingie St,,Caol,PH33 7DP,https://www.highlifehighland.com/libraries/caol-library/
Cardenden Library,Carden Avenue,,Cardenden,KY5 0EL,http://onfife.com/venues/cardenden-library
Cardonald Library,1113 Mosspark Drive,,Glasgow ,G52 3BU,http://www.glasgowlife.org.uk/libraries/your-local-library/cardonald-library/Pages/home.aspx
Cardross Library,Main Street,,Cardross,G82 5PX,https://www.argyll-bute.gov.uk/library/cardross-library
Carluke Library,Carnwath Road,,Carluke ,ML8 4DF,http://www.slleisureandculture.co.uk/info/80/carluke_library
Carmondean Connected,Carmondean Centre ,,Deans,EH54 8PT,https://www.westlothian.gov.uk/article/2237/Carmondean-Connected-Deans
Carnegie Library,12 Main Street,,Ayr,KA8 8EB,https://www.south-ayrshire.gov.uk/libraries/branches/carnegie-library.aspx
Carnoustie Library,21 High Street ,,Carnoustie ,DD7 6AN,http://www.angus.gov.uk/directory_record/167/carnoustie_library
Castle Douglas Library & Customer Service Centre,Market Hill ,,King Street ,DG7 1AE,http://www.dumgal.gov.uk/article/15395/DG-Customer-Services---Castle-Douglas
Castlebay Library,Castlebay School,,Isle of Barra,HS9 5XD,http://www.cne-siar.gov.uk/library/libraries/castlebay.asp
Castlemilk Library,100 Castlemilk Drive,,Glasgow ,G45 9TN,http://www.glasgowlife.org.uk/libraries/your-local-library/castlemilk-library/Pages/home.aspx
Cathkin Library,21 Lovat Place ,,Cathkin ,G73 5HS,http://www.slleisureandculture.co.uk/info/81/cathkin_library
Central Library,Wallace Place,,Greenock,PA15 1JB,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Chapelhall Library,2 Honeywell Crescent,,Airdrie,ML6 8XW,https://culturenl.co.uk/libraries/your-library/chapelhall-library/
Charleston Community Library,Charles Street,,60 Craigowan Road,DD2 4NL,http://www.dumgal.gov.uk/index.aspx?articleid=1392
Chryston Library,Chryston Cultural Centre ,,Lindsaybeg Road ,G69 9DL,https://culturenl.co.uk/libraries/your-library/chryston-library/
Clarkston Library,Clarkston Road,,Clarkston,G76 8NE,http://www.ercultureandleisure.org/clarkstonlibrary
Cleland Library,Main St,,Cleland,ML1 5QW,https://culturenl.co.uk/libraries/your-library/cleland-library/
Clydebank Library,Dumbarton Road,,Clydebank,G81 1XH,http://www.west-dunbarton.gov.uk/libraries/library-branches/clydebank-library/
Coatbridge Library,The Buchanan Centre ,,126 Main Street ,ML5 3BJ,https://culturenl.co.uk/libraries/your-library/coatbridge-library/
Coldside Community Library,150 Strathmartine Road,,Dundee,DD3 7SE,http://www.leisureandculturedundee.com/coldside-community-library
Coldstream Library Contact Centre,Gateway Centre,,Coldstream,TD12 4AE,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/coldstream_library_contact_centre(1).aspx
Colinton Library,14 Thorburn Road ,,Edinburgh,EH13 0BQ,https://www.edinburgh.gov.uk/directory_record/5057/colinton_library
Comrie Library,Drummond Street,,Comrie,PH6 2DS,http://www.culturepk.org.uk/your-local-library/comrie-library/
Condorrat Library,North Road ,,Condorrat,G68 9AE,https://culturenl.co.uk/libraries/your-library/condorrat-library/
Cornhill Library,Cornhill Drive ,,Aberdeen,AB16 5UT,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Corstorphine Library,12 Kirk Loan ,,Edinburgh,EH12 7HD,https://www.edinburgh.gov.uk/directory_record/5058/corstorphine_library
Coupar Angus Library,Town Hall,,Union Street,PH13 9AE,http://www.culturepk.org.uk/your-local-library/coupar-angus-library/
Couper Institute Library,84 Clarkston Road,,Glasgow ,G44 3DA,http://www.glasgowlife.org.uk/libraries/your-local-library/couper-institute/Pages/default.aspx
Cove Library,Loirston Avenue,,Aberdeen,AB12 3HE,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Cowdenbeath Library,41 High Street,,Cowdenbeath,KY4 9QA,http://onfife.com/venues/cowdenbeath-library
Cowie Library,Burns Terrace,,Cowie,FK7 7BS,http://my.stirling.gov.uk/facilities/view/70
Craighead Library,Craighead Road ,,Milton of Campsie,G66 8DL,http://www.edlc.co.uk/libraries/your-local-library/craighead
Craigmillar Library,101 Niddrie Mains Road,,Edinburgh,EH16 4DS,https://www.edinburgh.gov.uk/directory_record/5059/craigmillar_library
Cromarty Library,Hugh Miller Institute,,Church St,IV11 8XA,https://www.highlifehighland.com/libraries/cromarty-library/
Crosshouse Library,Crosshouse Area Centre,,Annandale Gardens ,KA2 0LE,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=42
Cruden Bay Library,Station Road,,Cruden Bay,AB42 0NL,https://www.aberdeenshire.gov.uk/libraries/
Cullen Library,Seafield Road,,Cullen,AB56 4AF,http://www.moray.gov.uk/moray_standard/page_39962.html
Culloden Library,Keppoch Rd,,Culloden,IV2 7LL,https://www.highlifehighland.com/libraries/culloden-library/
Cults Library,429 North Deeside Road,,Aberdeen,AB15 9SX,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Cumbernauld Library,8 Allander Walk,,Cumbernauld,G67 1EE,https://culturenl.co.uk/libraries/your-library/cumbernauld-library/
Cumnock Library,Rothesay House ,,1 Greenholm Road,KA18 1LH,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=43
Cupar Library,33-35 Crossgate,, Cupar,KY15 5AS,http://onfife.com/venues/cupar-library
Currie Library,210 Lanark Road West,,Edinburgh,EH14 5NX,https://www.edinburgh.gov.uk/directory_record/5060/currie_library
Dalbeattie Library & Customer Service Centre,High Street,,Dalbeattie,DG5 4AD,http://www.dumgal.gov.uk/article/15396/DG-Customer-Services---Dalbeattie
Dalgety Library,Regents Way,,Dalgety Bay,KY11 9UY,http://onfife.com/venues/dalgety-bay-library
Dalkeith Library,2 White Hart Street,,Dalkeith ,EH22 1AE,https://www.midlothian.gov.uk/directory_record/58/dalkeith_library
Dalmuir Library,Lennox Place,,Dalmuir,G81 4LX,http://www.west-dunbarton.gov.uk/libraries/library-branches/dalmuir-library/
Dalry Library,Main Street,,St John's Town of Dalry,DG7 3UP,http://www.dumgal.gov.uk/article/15397/DG-Customer-Services---Dalry-Library
Dalry Library,14 The Cross,,Dalry ,KA24 5AW,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000081
Danderhall Library,1a Campview,,Danderhall ,EH22 1QD,https://www.midlothian.gov.uk/directory_record/59/danderhall_library
Darvel Library,Town Hall,,10-12 West Main Street,KA17 0AQ,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=46
Dennistoun Library,2a Craigpark,,Glasgow,G31 2NA,http://www.glasgowlife.org.uk/libraries/your-local-library/dennistoun-library/Pages/home.aspx
Denny Library,Davies Row ,,Denny,FK6 6FA,http://www.falkirkcommunitytrust.org/venues/denny-library/
Dick Institute,Elmbank Avenue,,Kilmarnock,KA1 3BU,http://eastayrshireleisure.com/index.php?a=landing&id=6&sid=146&mid=169
Dingwall Community Library,Dingwall,,IV15 9LT,IV15 9LT,https://www.highlifehighland.com/libraries/dingwall-community-library/
Dollar Community Access Point,Dollar Civic Centre,,Park Place,FK14 7AA,http://www.clacksweb.org.uk/culture/dollarcap/
Dornoch Library,High St,,Dornoch,IV25 3SH,https://www.highlifehighland.com/libraries/dornoch-library/
Douglas Community Centre ,Balmoral Avenue ,,Dundee,DD4 8SD,http://www.leisureandculturedundee.com/douglas-community-library
Doune Library,Main Street,,Doune,FK16 6BJ,http://my.stirling.gov.uk/facilities/view/71
Dreghorn Library,21 Main Street,,Dreghorn,KA11 4AQ,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000082
Drongan Library,Drongan Primary School ,,Millmannoch Avenue,KA6 7BY,http://eastayrshireleisure.com/index.php?a=landing&id=6&sid=147&mid=170
Drumbrae Library Hub,81 Drum Brae Drive ,,Edinburgh,EH4 7FE,https://www.edinburgh.gov.uk/directory_record/5758/drumbrae_library_hub
Drumchapel Library,65 Hecla Avenue,,Glasgow ,G15 8LX,http://www.glasgowlife.org.uk/libraries/your-local-library/drumchapel-library/Pages/home.aspx
Drymen Library,The Square,,Drymen,G63 0BL,http://my.stirling.gov.uk/facilities/view/72
Dufftown Library,Balvenie Street,,Dufftown,AB55 4AB,http://www.moray.gov.uk/moray_standard/page_39963.html
Duloch Library,Community Campus,,Nightingale Place,KY11 8LW,http://onfife.com/venues/duloch-library
Dumbarton Library,Strathleven Place,,Dumbarton,G82 1BD,http://www.west-dunbarton.gov.uk/libraries/library-branches/dumbarton-library/
Dunbar Library,Bleachingfield Centre,,Dunbar,EH42 1DX,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/4
Dunblane Library,The Institute,,High Street,FK15 0ER,http://my.stirling.gov.uk/facilities/view/73
Dundee Central Library,The Wellgate ,,Dundee,DD1 1DB,http://www.leisureandculturedundee.com/central-library-wellgate
Dunfermline Carnegie Library,1-7 Abbot Street,,Dunfermline,KY12 7NL,http://onfife.com/venues/dunfermline-carnegie-library-galleries
Dunoon Library,248 Argyll Street,,Dunoon,PA23 7LT,https://www.argyll-bute.gov.uk/library/dunoon-library
Duns Library Contact Centre ,49 Newtown Street,,Duns,TD11 3AU,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/duns_library_contact_centre(1).aspx
Duntocher Library,Glenhead CE Centre,,Duntiglennan Road,G81 6HF,http://www.west-dunbarton.gov.uk/libraries/library-branches/duntocher-library/
Dyce Library,Riverview Drive,,Aberdeen ,AB21 7NF,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Eaglesham Library,Montgomerie Hall,,Eaglesham,G76 0LH,http://www.ercultureandleisure.org/eagleshamlibrary
Earlston Library,Earlston High School,,East End,TD4 6JP,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/earlston_library(1).aspx
East Calder Library,Main Street,,East Calder,EH53 0EJ,https://www.westlothian.gov.uk/article/2238/East-Calder-Library
East Kilbride Library,The Olympia Shopping Centre,,East Kilbride,G74 1PG,http://www.slleisureandculture.co.uk/info/82/east_kilbride_library
East Linton Library,60A High Street,,East Linton,EH40 3BX,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/5
Eastriggs Library,Eastriggs Community School ,,Eastriggs,DG12 6PZ,http://www.dumgal.gov.uk/article/15399/DG-Customer-Services---Eastriggs
Edinburgh Central Library,George IV Bridge ,,Edinburgh,EH1 1EG,https://www.edinburgh.gov.uk/directory_record/5079/central_library
Elder Park Library,228a Langlands Road,,Glasgow ,G51 3TZ,http://www.glasgowlife.org.uk/libraries/your-local-library/elder-park-library/Pages/home.aspx
Elgin Library,Cooper Park,,Moray,IV30 1HS,http://www.moray.gov.uk/moray_standard/page_1435.html
Elie Library,Siward Lane,,Elie,KY9 1AZ,http://onfife.com/venues/elie-library
Ellon Library,Station Road,,Ellon,AB41 9AE,https://www.aberdeenshire.gov.uk/libraries/
Erskine Library,Bridgewater Place,,Erskine,PA8 7AA,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Ewart Library & Customer Service Centre,Catherine Street,,Dumfries,DG1 1JB,http://www.dumgal.gov.uk/article/15398/DG-Customer-Services---Ewart-Library-Dumfries
Eyemouth Library,Manse Road,,Eyemouth,TD14 5JE,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/eyemouth_library(1).aspx
Faifley Library,Edinbarnet Campus,,Craigpark Street,G81 5BS,http://www.west-dunbarton.gov.uk/libraries/library-branches/faifley-library/
Fairhill Library,South Lanarkshire Lifestyles Fairhill,,Neilsland Road ,ML3 8HJ,http://www.slleisureandculture.co.uk/info/83/fairhill_library
Fairlie Library,Main Road ,,Fairlie ,KA29 0AD,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000083
Falkirk Library,Hope Street,,Falkirk,FK1 5AU,http://www.falkirkcommunitytrust.org/venues/falkirk-library/
Fallin Library,Stirling Road,,Fallin,FK7 7JE,http://my.stirling.gov.uk/facilities/view/74
Fauldhouse Library,Fauldhouse Partnership Centre ,,Lanrigg Road ,EH47 9JD,https://www.westlothian.gov.uk/article/2240/Fauldhouse-Library
Ferguslie Library,Tannahill Centre,,Blackstoun Road,PA3 1NT,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Ferryhill Library,Fonthill Road,,Aberdeen,AB11 6UP,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Fettercairn Library,Fettercairn School,,Distillery Road,AB30 1TH,https://www.aberdeenshire.gov.uk/libraries/
Fintry Community Library,1 Findcastle Street ,,Dundee,DD4 9EW,http://www.leisureandculturedundee.com/fintry-community-library
Fochabers Library,Milne's Learning Centre ,,Milne's High School West Street ,IV32 7DJ,http://www.moray.gov.uk/moray_standard/page_39965.html
Forehill Library,31 Mount Oliphant Crescent,,Ayr,KA7 3EN,https://www.south-ayrshire.gov.uk/libraries/branches/forehill-library.aspx
Forres Library,Forres House High Street,,Forres,IV36 1BU,http://www.moray.gov.uk/moray_standard/page_39966.html
Fort William Library,Airds Crossing,,2 High Street,PH33 6EU,https://www.highlifehighland.com/libraries/fort-william-library/
Forth Library,Forth Primary School ,,Main Street ,ML11 8AE,http://www.slleisureandculture.co.uk/info/84/forth_library
Fortrose Community Centre,Academy Street,,Fortrose ,IV10 8TW,https://www.highlifehighland.com/libraries/fortrose-community-library/
Fountainbridge Library,137 Dundee Street,,Edinburgh,EH11 1BG,https://www.edinburgh.gov.uk/directory_record/5061/fountainbridge_library
Foxbar Library and Toy Library,Ivanhoe Road,,Paisley,PA2 0JZ,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Fraserburgh Library,King Edward Street,,Fraserburgh,AB43 9PN,https://www.aberdeenshire.gov.uk/libraries/
Gairloch Community Library,Gairloch,,IV21 2BP,IV21 2BP,https://www.highlifehighland.com/libraries/gairloch-community-library/
Galashiels Library,Lawyers Brae,,Galashiels,TD1 3JQ,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/galashiels_library(1).aspx
Galston Library,24 Henrietta Street,,Galston,KA4 8HQ,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=48
Gatehouse Library,63 High Street,,Gatehouse of Fleet,DG7 2HS,http://www.dumgal.gov.uk/article/15400/DG-Customer-Services---Gatehouse-Library
Georgetown Library,Gillbrae Road ,,Dumfries,DG1 4EJ,http://www.dumgal.gov.uk/article/15401/DG-Customer-Services---Georgetown-Dumfries
Giffnock Library,Station Road,,Giffnock,G46 6JF,http://www.ercultureandleisure.org/giffnocklibrary
Gilmerton Library,13 Newtoft Street ,,Edinburgh,EH17 8RG,https://www.edinburgh.gov.uk/directory_record/5062/gilmerton_library
Girvan Library,Montgomerie Street,,Girvan,KA26 9HE,https://www.south-ayrshire.gov.uk/libraries/branches/girvan-library.aspx
Glenburn Library,Fairway Avenue,,Paisley,PA2 8DX,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Glenurquhart Library and Learning Centre,Glenurquhart High School,,Drumnadrochit,IV63 6XA,https://www.highlifehighland.com/libraries/glenurquhart-library-and-learning-centre/
