Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Sheffield City Council,Greenhill,Hemper Lane,Sheffield,Yorkshire,S8 7FE,100052118343,No,CRL,,,10:00-18:30,,10:00-17:30,,10:00-17:30,10:00-12:30,,,,,,,,,,No,,,https://greenhill-library.org/,admin@greenhill-library.org
Sheffield City Council,Highfield,London Road,Sheffield,Yorkshire,S2 4NF,100052216597,No,LAL,,,12:30-18:30,10:00-17:30,10:00-17:30,,10:00-14:00,10:00-16:00,,,,,,,,,,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/highfieldlibrary.html,highfield.library@sheffield.gov.uk
Sheffield City Council,Hillsborough,Middlewood Road,Sheffield,Yorkshire,S6 4HD,100052100826,Yes,LAL,,,12:30-18:30,10:00-17:30,10:00-17:30,,10:00-14:00,10:00-16:00,,,,,,,,,,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/hillsboroughlibrary.html,hillsborough.library@sheffield.gov.uk
Sheffield City Council,Jordanthorpe,15 Jordanthorpe Centre,Sheffield,Yorkshire,S8 8DX,100052118715,No,CRL,,,10:00-13:00,,10:00-18:00,,15:00-18:00,10:00-13:00,,,,,,,,,,No,,,https://www.jordanthorpelibrary.org.uk/,
Sheffield City Council,Limpsfield,,Sheffield,Yorkshire,S9 1AN,100052119579,Yes,LAL,,2012,,,,,,,,,,,,,,,,No,,,,
Sheffield City Council,Manor,Ridgeway Road,Sheffield,Yorkshire,S12 2SS,100052085407,Yes,LAL,,,10:00-17:30,10:00-14:00,10:00-17:30,,12:30-18:30,10:00-16:00,,,,,,,,,,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/manorlibrary.html,manor.library@sheffield.gov.uk
Sheffield City Council,Newfield Green,Gleadless Road,Sheffield,Yorkshire,S2 2BT,100052216101,No,CRL,,,,09:00-16:00,,15:00-18:00,09:00-12:00,09:30-12:30,,,,,,,,,,No,,,https://volunteerlibrariesinsheffield.org/newfield-green/,librarianngreen@outlook.com
Sheffield City Council,Park,Duke Street,Sheffield,Yorkshire,S2 5QP,100052215767,No,CRL,,,13:00-18:00,,10:00-19:30,,10:00-17:30,,,,,,,,,,,No,,,https://volunteerlibrariesinsheffield.org/park/,parklibrary29@gmail.com
Sheffield City Council,Parson Cross,320 Wordsworth Avenue,Sheffield,Yorkshire,S5 8NL,10090226568,Yes,LAL,,,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/parsoncrosslibrary.html,parsoncross.library@sheffield.gov.uk
Sheffield City Council,Sheffield Central: Lending,Surrey Street,Sheffield,Yorkshire,S1 1XZ,100052217869,Yes,LAL,,,09:30-17:30,09:30-17:30,13:00-20:00,09:30-17:30,09:30-17:30,10:00-16:00,,,,,,,,,,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/centrallending.html,centrallending.library@sheffield.gov.uk
Sheffield City Council,Southey,Moonshine Lane,Sheffield,Yorkshire,S5 8RB,100052098774,No,CRL,,,13:00-18:00,,10:00-17:30,,10:00-17:30,09:30-12:30,,,,,,,,,,No,,,http://www.southeyforum.co.uk/,janetb@southeyforum.co.uk
Sheffield City Council,Stannington,Uppergate Road,Sheffield,Yorkshire,S6 6BX,100052218001,No,CRL,,,13:30-19:00,,10:00-18:00,,13:30-19:00,09:30-12:30,,,,,,,,,,No,,,https://volunteerlibrariesinsheffield.org/stannington/,library.stannington@gmail.com
Sheffield City Council,Stocksbridge,Manchester Road,Sheffield,Yorkshire,S36 1DH,100051023368,Yes,LAL,,,10:00-17:30,10:00-17:30,,12:30-18:30,10:00-14:00,10:00-16:00,,,,,,,,,,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/stocksbridgelibrary.html,stocksbridge.library@sheffield.gov.uk
Sheffield City Council,Tinsley,"Tinsley Forum, 120-126 Bawtry Road",Sheffield,Yorkshire,S9 1UE,200003005312,No,CRL,,,10:00-17:00,,10:00-12:00,10:00-12:00,,,,,,,,,,,,No,,,https://volunteerlibrariesinsheffield.org/tinsley/,tinsley.library@gmail.com
Sheffield City Council,Totley,205 Baslow Road,Sheffield,Yorkshire,S17 4DT,100052087543,No,CRL,,,10:00-19:00,10:00-17:00,10:00-17:00,,10:00-17:00,10:00-13:00,,,,,,,,,,No,,,http://www.totleycric.org.uk/,http://www.totleycric.org.uk/contact-us/
Sheffield City Council,Upperthorpe,"Zest Centre, 18 Upperthorpe",Sheffield,Yorkshire,S6 3NA,10023153502,No,CRL,,,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,07:30-21:00,07:30-18:00,07:30-16:00,,,,,,,,,No,,,https://www.zestcommunity.co.uk/services/the-library/,upperthorpelibrary@gmail.com
Sheffield City Council,Walkley,South Road,Sheffield,Yorkshire,S6 3TD,100052100312,No,CRL,,,13:00-18:00,,10:00-17:30,,10:00-17:30,10:00-13:00,,,,,,,,,,No,,,https://www.walkleylibrary.org.uk/,info@walkleylibrary.org.uk
Sheffield City Council,Woodhouse,Tannery Street,Sheffield,Yorkshire,S13 7JU,100052086384,No,CRL,,,10:00-17:00,,,10:00-17:00,10:00-17:00,09:30-12:30,,,,,,,,,,No,,,https://www.mywoodhouse.co.uk/woodhouse_library.html,library@mywoodhouse.co.uk
Sheffield City Council,Woodseats,"The Roddick Building, 900 Chesterfield Rd",Sheffield,Yorkshire,S8 0SH,10093470919,Yes,LAL,,,12:30-18:30,10:00-14:00,10:00-17:30,,10:00-17:30,10:00-16:00,,,,,,,,,,No,,,https://www.sheffield.gov.uk/libraries/all-libraries/woodseatslibrary.html,woodseats.library@sheffield.gov.uk
